func_name;id_try;id;size;exceptions
ticket_role;0;0;3;1
get_object_or_404;1;1;2;1
get_object_or_404;1;2;1;0
get_list_or_404;2;3;2;1
resolve_url;3;4;3;1
_BaseCookie__set;4;5;4;0
get_signed_cookie;5;6;2;1
get_signed_cookie;6;7;2;0
scheme;7;8;1;1
body;8;9;1;1
_load_post_and_files;9;10;2;1
read;10;11;1;1
readline;11;12;1;1
__init__;12;13;1;1
__init__;13;14;1;1
__init__;14;15;1;2
parse;15;16;2;1
parse;16;17;0;3
parse;17;18;1;1
parse;18;19;1;3
parse;19;20;2;1
parse;20;21;0;1
parse;21;22;2;1
read;22;23;1;1
__next__;23;24;1;1
__next__;24;25;1;1
exhaust;25;26;1;1
parse_boundary_stream;26;27;1;1
parse_boundary_stream;27;28;0;1
_convert_to_charset;28;29;3;1
__delitem__;29;30;1;1
close;30;31;1;1
content;31;32;1;1
__init__;32;33;1;1
__init__;33;34;1;1
process_view;34;35;1;1
process_view;35;36;1;1
get_callable;36;37;4;1
get_callable;37;38;1;1
get_mod_func;38;39;1;1
reverse;39;40;1;1
reverse;40;41;2;1
clear_script_prefix;41;42;1;1
is_valid_path;42;43;1;1
translate_url;43;44;1;1
translate_url;44;45;1;1
regex;45;46;1;0
resolve;46;47;3;1
url_patterns;47;48;2;1
get_max_age;48;49;1;2
get_conditional_response;49;50;2;1
is_valid_ipv6_address;50;51;1;1
is_valid_ipv6_address;51;52;1;1
emit;52;53;2;1
get_git_changeset;53;54;1;1
discard;54;55;1;1
__getitem__;55;56;1;1
__getitem__;56;57;1;1
get;57;58;1;1
getlist;58;59;2;1
update;59;60;1;1
symlinks_supported;60;61;1;3
code_changed;61;62;1;1
check_errors;62;63;7;1
python_reloader;63;64;1;1
python_reloader;64;65;1;1
func_accepts_kwargs;65;66;2;1
func_accepts_kwargs;66;67;1;2
is_iterable;67;68;1;1
import_string;68;69;2;1
import_string;69;70;2;1
autodiscover_modules;70;71;3;1
module_has_submodule;71;72;1;1
module_has_submodule;72;73;1;1
module_has_submodule;73;74;1;1
module_has_submodule;74;75;8;1
module_has_submodule;75;76;0;1
module_has_submodule;76;77;0;1
module_has_submodule;77;78;1;1
_truncate_html;78;79;1;1
_replace_entity;79;80;1;1
_replace_entity;80;81;1;2
iter_format_modules;81;82;1;1
get_format;82;83;10;1
get_format;83;84;1;1
normalize;84;85;1;1
normalize;85;86;1;1
normalize;85;87;1;1
get_quantifier;86;88;1;1
get_quantifier;87;89;1;1
e;88;90;1;1
T;89;91;1;1
Z;90;92;1;1
I;91;93;1;1
force_text;92;94;3;1
force_bytes;93;95;3;1
repercent_broken_unicode;94;96;2;1
get_system_encoding;95;97;1;1
_archive_cls;96;98;1;1
extract;97;99;1;2
_isdst;98;100;6;2
_get_timezone_name;99;101;1;1
make_middleware_decorator;100;102;4;1
parse_http_date;101;103;1;1
parse_http_date_safe;102;104;1;1
urlsafe_base64_decode;103;105;1;2
is_safe_url;104;106;1;1
_strip_once;105;107;1;1
_strip_once;106;108;1;1
smart_urlquote;107;109;1;1
smart_urlquote;108;110;1;1
urlize;109;111;0;1
__get__;110;112;1;1
__get_module;111;113;1;1
load_module;112;114;1;1
remove_move;113;115;2;1
remove_move;114;116;1;1
_add_installed_apps_translations;115;117;1;1
get_language;116;118;1;1
get_supported_language_variant;117;119;1;1
get_language_from_path;118;120;1;1
get_language_from_request;119;121;1;1
get_language_from_request;120;122;0;1
get_language_from_request;121;123;1;1
parse_accept_lang_header;122;124;1;1
lazy_number;123;125;1;1
lazy_number;124;126;1;1
get_language_info;125;127;4;1
get_language_info;126;128;1;1
create;127;129;3;1
create;128;130;1;1
create;129;131;2;1
create;130;132;1;1
get_model;131;133;1;1
get_app_config;132;134;4;1
lazy_model_operation;133;135;1;1
load_backend;134;136;7;1
load_backend;135;137;1;1
ensure_defaults;136;138;1;1
prepare_test_settings;137;139;1;1
close_all;138;140;0;1
_router_func;139;141;1;1
allow_relation;140;142;1;1
allow_migrate;141;143;0;1
__exit__;142;144;4;1
__exit__;143;145;1;1
__exit__;144;146;3;1
__exit__;145;147;1;1
__exit__;146;148;1;1
__exit__;147;149;1;1
_non_atomic_requests;148;150;1;1
__exit__;149;151;1;0
executemany;150;152;1;1
execute;151;153;2;0
executemany;152;154;2;0
_rollback;153;155;1;0
is_usable;154;156;1;0
_clone_test_db;155;157;6;1
_clone_test_db;156;158;2;1
datetime_trunc_sql;157;159;1;1
_create_test_db;158;160;10;1
_create_test_db;159;161;2;1
prepare_sql_script;160;162;1;1
supports_stddev;161;163;1;1
_setup_environment;162;164;1;1
init_connection_state;163;165;2;1
init_connection_state;164;166;1;1
_commit;165;167;5;0
is_usable;166;168;1;0
oracle_version;167;169;1;1
_format_params;168;170;1;1
execute;169;171;4;0
executemany;170;172;4;0
close;171;173;1;0
_create_test_db;172;174;16;1
_create_test_db;173;175;4;1
_create_test_db;173;176;2;1
_create_test_db;174;177;2;1
_create_test_db;175;178;11;1
_create_test_db;176;179;2;1
_handle_objects_preventing_db_destruction;177;180;2;1
_handle_objects_preventing_db_destruction;178;181;2;1
_execute_statements;179;182;2;1
_execute_allow_fail_statements;180;183;3;1
alter_field;181;184;3;1
_parse_version;182;185;1;2
get_new_connection;183;186;1;1
is_usable;184;187;1;0
_nodb_connection;185;188;4;2
runshell_db;186;189;1;1
_clone_test_db;187;190;6;1
_clone_test_db;188;191;2;1
_sqlite_date_extract;189;192;1;2
_sqlite_date_trunc;190;193;1;2
_sqlite_datetime_parse;191;194;1;2
_sqlite_time_extract;192;195;1;2
_sqlite_format_dtdelta;193;196;1;2
__getitem__;194;197;3;1
get_relations;195;198;1;1
_create_test_db;196;199;2;1
_clone_test_db;197;200;2;1
_clone_test_db;198;201;2;1
quote_value;199;202;1;1
quote_value;199;203;1;0
check_expression_support;200;204;1;1
supports_stddev;201;205;1;0
make_model_tuple;202;206;1;2
__init__;203;207;2;1
__init__;204;208;1;1
__init__;205;209;1;1
__init__;206;210;1;2
__repr__;207;211;1;2
serializable_value;208;212;1;1
save;209;213;0;1
_get_next_or_previous_by_FIELD;210;214;1;1
full_clean;211;215;1;1
full_clean;212;216;1;1
full_clean;213;217;1;1
clean_fields;214;218;1;1
_check_swappable;215;219;1;1
_check_swappable;215;220;2;1
_check_local_fields;216;221;1;1
as_sql;217;222;1;1
as_sql;218;223;1;1
compile;219;224;1;1
as_sqlite;220;225;1;1
process_rhs;221;226;1;1
as_sql;222;227;1;3
normalize_together;223;228;1;1
_prepare;224;229;1;1
add_field;225;230;1;1
swapped;226;231;1;1
base_manager;227;232;1;1
default_manager;228;233;1;1
_forward_fields_map;229;234;1;1
fields_map;230;235;1;1
get_field;231;236;1;1
get_field;232;237;1;1
_get_fields;233;238;1;1
__get__;234;239;1;1
_get_lookup;235;240;2;1
_get_lookup;235;241;1;1
__iter__;236;242;1;1
aggregate;237;243;1;2
get_or_create;238;244;1;0
update_or_create;239;245;2;0
_create_object_from_params;240;246;4;1
_create_object_from_params;241;247;1;0
annotate;242;248;1;2
columns;243;249;1;1
prefetch_related_objects;244;250;1;2
prefetch_related_objects;245;251;0;0
prefetch_one_level;246;252;1;0
prefetch_one_level;247;253;2;1
run_validators;248;254;3;0
db_check;249;255;1;1
db_type;250;256;1;1
to_python;251;257;1;2
to_python;252;258;1;1
to_python;253;259;1;1
to_python;254;260;1;1
get_prep_value;255;261;1;1
_check_decimal_places;256;262;1;1
_check_decimal_places;256;263;1;1
_check_max_digits;257;264;1;1
_check_max_digits;257;265;1;1
to_python;258;266;1;0
to_python;259;267;1;1
to_python;260;268;1;2
to_python;261;269;1;2
get_prep_value;262;270;1;0
to_python;263;271;1;1
get_db_prep_value;264;272;1;1
to_python;265;273;1;1
_check_image_library_installed;266;274;1;1
get_normalized_value;267;275;1;1
__get__;268;276;7;1
__get__;269;277;7;1
__get__;270;278;1;0
__set__;271;279;1;1
create_reverse_many_to_one_manager;272;280;2;2
create_forward_many_to_many_manager;273;281;2;2
_check_unique_target;274;282;1;0
__init__;275;283;1;1
__init__;276;284;2;1
_check_relationship_model;277;285;1;0
get_from_clause;278;286;0;1
execute_sql;279;287;2;1
execute_sql;280;288;2;1
as_sql;281;289;1;1
get_aggregation;282;290;1;1
build_filter;283;291;1;1
names_to_path;284;292;4;1
names_to_path;285;293;1;1
add_fields;286;294;1;1
add_fields;286;295;3;1
get_loaded_field_names;287;296;4;1
reload_model;288;297;1;1
reload_model;289;298;1;1
reload_model;290;299;1;1
render_multiple;291;300;1;1
unregister_model;292;301;1;1
from_model;293;302;1;1
from_model;294;303;1;1
render;295;304;1;1
remove_replaced_nodes;296;305;5;1
remove_replacement_node;297;306;5;1
forwards_plan;298;307;2;1
backwards_plan;299;308;2;1
ask_initial;300;309;1;1
ask_initial;301;310;1;1
_choice_input;302;311;1;1
_ask_default;303;312;1;2
load_disk;304;313;4;1
check_key;305;314;2;1
build_graph;306;315;12;1
ensure_schema;307;316;1;1
basedir;308;317;1;1
basedir;309;318;1;1
basedir;310;319;0;1
basedir;311;320;0;1
swappable_first_key;312;321;1;1
__new__;313;322;1;1
send_robust;314;323;3;1
cleanse_setting;315;324;1;1
cleanse_special_types;316;325;1;1
get_traceback_data;317;326;1;1
_get_lines_from_file;318;327;1;1
_get_lines_from_file;319;328;1;2
technical_404_response;320;329;1;3
technical_404_response;321;330;1;3
technical_404_response;322;331;1;1
csrf_failure;323;332;2;1
page_not_found;324;333;1;2
page_not_found;325;334;4;1
server_error;326;335;2;1
bad_request;327;336;2;1
permission_denied;328;337;2;1
directory_index;329;338;1;1
was_modified_since;330;339;1;3
paginate_queryset;331;340;2;1
paginate_queryset;332;341;1;1
get_template_names;333;342;1;1
get_redirect_url;334;343;1;1
get_success_url;335;344;1;1
get_year;336;345;2;1
get_year;337;346;1;1
get_month;338;347;2;1
get_month;339;348;1;1
get_day;340;349;2;1
get_day;341;350;1;1
get_week;342;351;2;1
get_week;343;352;1;1
_date_from_string;344;353;1;1
_get_next_prev;345;354;1;1
get_object;346;355;1;0
get_template_names;347;356;10;1
render;348;357;1;1
render;349;358;1;2
render;350;359;1;1
render;351;360;1;1
render;352;361;1;1
do_timezone;353;362;1;1
do_timezone;354;363;1;0
handle_simple;355;364;1;1
render;356;365;3;2
do_translate;357;366;2;1
do_translate;358;367;2;1
do_block_translate;359;368;2;1
do_block_translate;360;369;2;1
validate_number;361;370;1;2
count;362;371;1;2
__call__;363;372;7;1
__call__;364;373;1;1
__call__;365;374;1;1
__call__;366;375;1;1
__call__;367;376;1;1
validate_domain_part;368;377;1;1
validate_ipv46_address;369;378;2;1
validate_ipv46_address;370;379;1;1
ip_address_validators;371;380;1;1
get_internal_wsgi_application;372;381;2;1
_create_cache;373;382;1;1
_create_cache;374;383;4;1
_create_cache;375;384;1;1
__getitem__;376;385;1;1
__getitem__;376;386;1;1
_base_set;377;387;1;1
__init__;378;388;1;2
__init__;379;389;1;2
__init__;380;390;1;2
get;381;391;1;1
_delete;382;392;1;1
_createdir;383;393;1;1
incr;384;394;1;0
decr;385;395;1;0
get;386;396;1;0
get;387;397;1;1
has_key;388;398;1;1
_delete;389;399;1;1
_delete;390;400;1;1
_check_lazy_references;391;401;1;1
_samefile;392;402;1;1
file_move_safe;393;403;1;1
file_move_safe;394;404;3;1
close;395;405;1;2
close;396;406;1;1
_get_size_from_underlying_file;397;407;1;2
chunks;398;408;1;2
close;399;409;1;1
_save;400;410;1;1
_save;401;411;3;1
delete;402;412;1;1
get_image_dimensions;403;413;3;0
get_image_dimensions;403;414;1;0
popen_wrapper;404;415;2;1
run_from_argv;405;416;6;1
check_migrations;406;417;1;1
check_migrations;406;418;2;1
handle;407;419;1;2
call_command;408;420;1;1
fetch_command;409;421;4;1
autocomplete;410;422;1;1
autocomplete;411;423;1;1
execute;412;424;1;1
execute;413;425;1;1
execute;414;426;2;1
execute;415;427;3;1
handle;416;428;3;1
handle;417;429;1;1
download;418;430;1;1
extract;419;431;1;2
inner_run;420;432;5;0
inner_run;420;433;2;1
inner_run;421;434;1;1
handle;422;435;1;1
handle;423;436;1;1
handle_inspection;424;437;1;1
handle_inspection;425;438;1;1
handle_inspection;426;439;1;1
handle_inspection;427;440;1;1
get_field_type;428;441;2;1
handle;429;442;1;1
find_migration;430;443;1;1
find_migration;430;444;1;1
is_writable;431;445;1;2
handle;432;446;1;1
handle;433;447;1;1
handle;434;448;1;1
handle;435;449;5;1
handle;436;450;1;1
handle;437;451;1;1
handle;438;452;1;1
handle;439;453;1;0
handle;440;454;2;1
handle;441;455;1;1
handle;441;456;1;1
loaddata;442;457;2;1
load_label;443;458;3;1
load_label;444;459;2;2
handle;445;460;1;1
handle;445;461;1;1
ipython;446;462;1;1
python;447;463;1;1
python;448;464;1;1
handle;449;465;1;1
handle;450;466;1;1
handle;451;467;2;1
handle;452;468;1;1
handle;453;469;1;1
process_locale_dir;454;470;1;1
handle;455;471;1;1
handle_merge;456;472;1;1
create_table;457;473;1;1
build_instance;458;474;1;0
register_serializer;459;475;2;1
Deserializer;460;476;1;1
Deserializer;460;477;1;1
Deserializer;461;478;1;0
Deserializer;462;479;1;1
Deserializer;463;480;1;1
Deserializer;464;481;1;1
Deserializer;465;482;1;1
_get_model;466;483;1;2
Deserializer;467;484;1;1
Deserializer;467;485;1;1
handle_field;468;486;1;1
_get_model_from_node;469;487;1;2
forbid_multi_line_headers;470;488;3;1
split_addr;471;489;1;1
sanitize_address;472;490;1;1
sanitize_address;473;491;2;2
attach_file;474;492;1;1
_create_attachment;475;493;2;1
open;476;494;1;0
close;477;495;1;2
close;477;496;2;0
_send;478;497;2;0
__init__;479;498;1;1
send_messages;480;499;1;1
load_middleware;481;500;3;1
load_middleware;482;501;3;1
get_response;483;502;2;1
_get_response;484;503;1;1
_get_response;485;504;1;1
convert_exception_to_response;486;505;1;1
get_exception_response;487;506;2;1
get_exception_response;488;507;2;1
__init__;489;508;1;1
__init__;490;509;1;2
__call__;491;510;2;1
templates;492;511;2;1
__getitem__;493;512;8;1
__getitem__;494;513;1;1
render;495;514;1;1
render;496;515;1;1
render;497;516;1;1
render;498;517;1;1
render;499;518;1;2
render;500;519;2;1
render;501;520;1;1
render;502;521;1;1
render;503;522;1;1
render;503;523;1;2
render;504;524;1;1
render;504;525;1;3
find_library;505;526;1;1
__init__;506;527;1;1
compile_nodelist;507;528;2;1
get_exception_info;508;529;1;2
parse;509;530;1;1
parse;510;531;1;1
parse;511;532;1;1
parse;512;533;1;1
__init__;513;534;1;1
resolve;514;535;5;1
__init__;515;536;8;1
__init__;516;537;3;1
_resolve_lookup;517;538;5;1
_resolve_lookup;518;539;10;5
_resolve_lookup;519;540;6;2
_resolve_lookup;520;541;1;4
_resolve_lookup;521;542;3;1
_resolve_lookup;522;543;1;1
render_annotated;523;544;3;1
render;524;545;1;1
floatformat;525;546;1;1
floatformat;525;547;3;1
floatformat;526;548;1;4
floatformat;527;549;1;1
floatformat;528;550;1;3
floatformat;529;551;1;1
stringformat;530;552;1;2
truncatechars;531;553;1;1
truncatechars_html;532;554;1;1
truncatewords;533;555;1;1
truncatewords_html;534;556;1;1
_property_resolver;535;557;1;1
dictsort;536;558;1;2
dictsortreversed;537;559;1;2
first;538;560;1;1
join;539;561;1;1
last;540;562;1;1
length;541;563;1;2
length_is;542;564;1;2
slice_filter;543;565;1;2
unordered_list;544;566;1;1
unordered_list;545;567;0;1
unordered_list;546;568;1;1
add;547;569;2;2
add;548;570;1;1
get_digit;549;571;1;1
get_digit;550;572;1;1
date;551;573;2;1
date;552;574;1;1
time;553;575;2;2
time;554;576;1;2
timesince_filter;555;577;1;2
timeuntil_filter;556;578;1;2
yesno;557;579;1;1
