func_name;id_try;id;size;exceptions
run;0;0;1;1
run;1;1;1;1
get_root;2;2;1;1
run_command;3;3;4;1
git_get_keywords;4;4;1;1
do_vcs_install;5;5;1;1
do_vcs_install;6;6;1;1
versions_from_file;7;7;1;1
get_versions;8;8;1;1
get_versions;9;9;1;1
get_versions;10;10;1;1
get_versions;11;11;1;1
do_setup;12;12;6;3
do_setup;13;13;1;1
do_setup;14;14;1;1
run_command;15;15;4;1
git_get_keywords;16;16;1;1
get_versions;17;17;1;1
get_versions;18;18;1;1
get_versions;19;19;1;1
get_versions;20;20;1;1
_replacer;21;21;1;1
resolve;22;22;2;1
resolve;23;23;1;1
type;24;24;2;1
type;25;25;1;1
is_datetime;26;26;1;1
is_datetime;27;27;1;1
_in;28;28;4;1
_in;29;29;1;1
_not_in;30;30;4;1
_not_in;31;31;1;1
_cast_inplace;32;32;1;1
__init__;33;33;2;1
__init__;34;34;1;1
_align;35;35;4;1
_reconstruct_object;36;36;1;1
_evaluate_numexpr;37;37;2;1
_evaluate_numexpr;37;38;1;1
_where_numexpr;38;39;2;1
_where_numexpr;38;40;1;1
_has_bool_dtype;39;41;2;1
_has_bool_dtype;40;42;1;1
_resolve_name;41;43;1;1
visit_Subscript;42;44;1;0
visit_Subscript;43;45;1;1
visit_Attribute;44;46;1;1
visit_Attribute;45;47;2;1
evaluate;46;48;1;1
evaluate;47;49;1;1
_result_type_many;48;50;1;1
visit_Subscript;49;51;2;1
visit_Assign;50;52;1;1
visit_Attribute;51;53;2;1
visit_Call_35;52;54;2;1
visit_Call_35;53;55;1;1
visit_Call_legacy;54;56;2;1
visit_Call_legacy;55;57;1;1
_evaluate;56;58;3;1
_evaluate;57;59;1;1
__init__;58;60;0;1
_convert_x;59;61;5;2
_get_cluster_type;60;62;3;1
solve;61;63;1;0
inv;62;64;1;0
__init__;63;65;0;1
_f_stat_raw;64;66;1;1
_f_stat_raw;65;67;1;1
array_equivalent;66;68;5;1
is_dtype;67;69;1;0
__new__;68;70;3;1
construct_from_string;69;71;1;0
__new__;70;72;1;0
__new__;71;73;5;1
construct_from_string;72;74;1;1
__new__;73;75;4;1
construct_from_string;74;76;1;1
is_dtype;75;77;1;1
_concat_compat;76;78;1;1
is_datetime64_dtype;77;79;1;1
is_dtype_equal;78;80;1;2
is_datetime64_ns_dtype;79;81;1;1
is_bool_dtype;80;82;1;1
_get_dtype_type;81;83;1;1
_get_dtype_from_object;82;84;1;1
_get_dtype_from_object;83;85;1;2
_validate_date_like_dtype;84;86;1;1
pandas_dtype;85;87;1;1
pandas_dtype;86;88;1;1
pandas_dtype;87;89;1;1
_possibly_downcast_to_dtype;88;90;1;0
_possibly_downcast_to_dtype;89;91;2;0
_possibly_downcast_to_dtype;90;92;1;0
_maybe_upcast_putmask;91;93;1;0
_maybe_upcast_putmask;92;94;1;0
_maybe_promote;93;95;1;0
_maybe_promote;94;96;1;0
_maybe_convert_scalar;95;97;1;1
_coerce_to_dtypes;96;98;1;0
_possibly_convert_objects;97;99;1;0
_soft_convert_objects;98;100;1;0
_possibly_infer_to_datetimelike;99;101;2;1
_possibly_infer_to_datetimelike;99;102;1;0
_possibly_infer_to_datetimelike;100;103;1;0
_possibly_infer_to_datetimelike;101;104;1;0
_possibly_cast_to_datetime;102;105;1;3
is_re_compilable;103;106;1;1
is_hashable;104;107;1;1
is_sequence;105;108;1;2
_get_fill;106;109;1;1
__len__;107;110;1;0
astype;108;111;2;1
__getitem__;109;112;1;1
__getitem__;109;113;4;1
__getitem__;109;114;1;1
_get_values;110;115;1;1
_to_ijv;111;116;1;1
write_result;112;117;1;2
_format_strings;113;118;1;1
detect_console_encoding;114;119;1;1
detect_console_encoding;115;120;1;1
_join_unicode;116;121;2;1
pprint_thing;117;122;1;1
u_safe;118;123;1;0
strlen;119;124;1;1
east_asian_len;120;125;1;1
load_reduce;121;126;14;1
load_reduce;122;127;1;0
load_reduce;123;128;1;0
load;124;129;1;0
__getitem__;125;130;1;1
__delitem__;126;131;1;1
popitem;127;132;1;1
pop;128;133;1;1
validate_transpose_for_generic;129;134;4;1
get_data;130;135;1;1
create_query;131;136;1;1
read_clipboard;132;137;1;0
to_clipboard;133;138;1;0
read_msgpack;134;139;1;2
unconvert;135;140;3;1
decode;136;141;1;0
__iter__;137;142;1;1
get_writer;138;143;1;1
get_writer;139;144;1;1
_parse_excel;140;145;1;1
_parse_excel;141;146;1;0
_parse_excel;142;147;1;1
__new__;143;148;2;1
_convert_to_fill;144;149;1;1
_convert_to_number_format;145;150;1;0
get_filepath_or_buffer;146;151;1;0
_tables;147;152;1;0
read_hdf;148;153;1;2
read_hdf;149;154;3;0
read_hdf;150;155;1;0
__init__;151;156;1;1
__getattr__;152;157;1;0
__unicode__;153;158;2;1
open;154;159;4;1
open;154;160;3;1
open;154;161;3;1
flush;155;162;1;0
remove;156;163;4;0
get_node;157;164;1;0
_validate_format;158;165;1;0
_create_storer;159;166;1;0
_create_storer;160;167;1;0
_create_storer;161;168;1;0
_create_storer;162;169;1;0
is_indexed;163;170;0;0
convert;164;171;2;0
create_for_block;165;172;1;0
convert;166;173;1;1
convert;167;174;1;0
set_version;168;175;1;0
write_array;169;176;1;1
write_array;170;177;1;0
shape;171;178;1;0
shape;172;179;1;0
validate_multiindex;173;180;1;1
create_axes;174;181;1;0
create_axes;175;182;1;0
create_axes;176;183;1;0
create_axes;177;184;1;3
create_axes;177;185;1;1
write_data_chunk;178;186;1;1
write_data_chunk;179;187;1;1
_get_info;180;188;1;0
_unconvert_index;181;189;1;1
__init__;182;190;1;0
generate;183;191;1;1
__init__;184;192;1;0
close;185;193;1;1
_get_dtypes;186;194;1;1
_get_dtypes;187;195;1;1
_read_old_header;188;196;1;0
_read_old_header;189;197;1;0
_null_terminate;190;198;1;0
read;191;199;2;1
read;192;200;2;1
_do_convert_categoricals;193;201;5;1
_check_column_names;194;202;1;0
_check_google_client_version;195;203;1;1
_test_google_api_imports;196;204;1;1
_test_google_api_imports;197;205;0;0
get_application_default_credentials;198;206;0;1
get_application_default_credentials;199;207;1;1
get_application_default_credentials;200;208;1;0
get_application_default_credentials;201;209;1;0
get_service_account_credentials;202;210;1;1
get_service_account_credentials;203;211;1;1
get_service_account_credentials;204;212;1;4
get_service;205;213;0;0
run_query;206;214;0;0
run_query;207;215;2;2
run_query;207;216;1;1
run_query;208;217;1;1
run_query;209;218;1;1
load_data;210;219;0;0
load_data;211;220;1;1
verify_schema;212;221;0;0
verify_schema;213;222;1;1
__init__;214;223;0;0
exists;215;224;2;0
create;216;225;1;0
delete;217;226;1;0
__init__;218;227;0;0
exists;219;228;2;0
datasets;220;229;1;0
create;221;230;1;0
delete;222;231;1;0
tables;223;232;1;0
read_pickle;224;233;4;1
read_pickle;225;234;2;0
read_pickle;226;235;2;0
process_flags;227;236;2;0
_is_url;228;237;1;0
_is_s3_url;229;238;1;0
_get_handle;230;239;1;1
read_json;231;240;1;2
_try_convert_data;232;241;1;0
_try_convert_data;233;242;1;0
_try_convert_data;234;243;1;0
_try_convert_data;235;244;1;0
_try_convert_data;236;245;1;0
_try_convert_to_date;237;246;1;0
_try_convert_to_date;238;247;0;1
_try_convert_to_date;238;248;0;0
_clean_options;239;249;1;1
__next__;240;250;2;1
_convert_to_ndarrays;241;251;2;1
_convert_types;242;252;2;1
close;243;253;1;0
read;244;254;8;1
read;245;255;2;1
_infer_columns;246;256;6;1
_infer_columns;247;257;2;1
_check_for_bom;248;258;1;1
_next_line;249;259;1;1
_next_line;250;260;6;0
_get_index_name;251;261;1;1
_get_index_name;252;262;1;1
_get_lines;253;263;4;1
_get_lines;254;264;5;0
_make_date_converter;255;265;1;0
_make_date_converter;256;266;2;1
_make_date_converter;257;267;1;1
_floatify_na_values;258;268;1;0
_stringify_na_values;259;269;1;0
_stringify_na_values;260;270;1;0
__next__;261;271;2;1
_is_sqlalchemy_connectable;262;272;1;1
_parse_date_columns;263;273;1;1
read_sql_table;264;274;1;0
read_sql;265;275;1;0
_engine_builder;266;276;1;1
