name_func;name_exception;user/sys
check_cython_extensions;Exception;sys
get_root;VersioneerBadRootError;usr
git_versions_from_keywords;NotThisMethod;usr
git_versions_from_keywords;NotThisMethod;usr
git_pieces_from_vcs;NotThisMethod;usr
git_pieces_from_vcs;NotThisMethod;usr
git_pieces_from_vcs;NotThisMethod;usr
versions_from_parentdir;NotThisMethod;usr
versions_from_file;NotThisMethod;usr
render;ValueError;sys
versions_from_parentdir;NotThisMethod;usr
git_versions_from_keywords;NotThisMethod;usr
git_versions_from_keywords;NotThisMethod;usr
git_pieces_from_vcs;NotThisMethod;usr
git_pieces_from_vcs;NotThisMethod;usr
git_pieces_from_vcs;NotThisMethod;usr
render;ValueError;sys
_get_standard_colors;ValueError;sys
_get_standard_colors;ValueError;sys
_get_standard_colors;ValueError;sys
__getitem__;ValueError;sys
__delitem__;ValueError;sys
time2num;ValueError;sys
_convert_1d;TypeError;sys
get_datevalue;ValueError;sys
__call__;RuntimeError;sys
_daily_finder;ValueError;sys
_daily_finder;ValueError;sys
get_finder;NotImplementedError;sys
_maybe_resample;ValueError;sys
_maybe_resample;ValueError;sys
_maybe_convert_index;ValueError;sys
format_dateaxis;TypeError;sys
table;ValueError;sys
_get_layout;ValueError;sys
_get_layout;ValueError;sys
_get_layout;ValueError;sys
_subplots;ValueError;sys
parallel_coordinates;ValueError;sys
parallel_coordinates;ValueError;sys
parallel_coordinates;ValueError;sys
_kind;NotImplementedError;sys
__init__;TypeError;sys
_validate_color_args;ValueError;sys
_compute_plot_data;TypeError;sys
_make_plot;AbstractMethodError;usr
_post_plot_logic_common;ValueError;sys
_adorn_subplots;ValueError;sys
_adorn_subplots;ValueError;sys
_parse_errorbars;ValueError;sys
_parse_errorbars;ValueError;sys
__init__;ValueError;sys
_make_plot;TypeError;sys
_get_stacked_values;ValueError;sys
__init__;ValueError;sys
__init__;ValueError;sys
__init__;ValueError;sys
_validate_color_args;ValueError;sys
_plot;ValueError;sys
_plot;ValueError;sys
_plot;ValueError;sys
boxplot;ValueError;sys
boxplot;ValueError;sys
hist_series;ValueError;sys
hist_series;AssertionError;sys
hist_series;ValueError;sys
__call__;NotImplementedError;sys
ensure_compat;AssertionError;sys
__delitem__;KeyError;sys
raise_with_traceback;with_traceback;usr
__init__;TypeError;sys
__missing__;KeyError;sys
is_compat;ValueError;sys
__missing__;KeyError;sys
__call__;ValueError;sys
validate_window_func;UnsupportedFunctionCall;usr
validate_window_func;UnsupportedFunctionCall;usr
validate_rolling_func;UnsupportedFunctionCall;usr
validate_rolling_func;UnsupportedFunctionCall;usr
validate_expanding_func;UnsupportedFunctionCall;usr
validate_expanding_func;UnsupportedFunctionCall;usr
validate_groupby_func;UnsupportedFunctionCall;usr
validate_resampler_func;UnsupportedFunctionCall;usr
validate_resampler_func;TypeError;sys
_check_zlib;ImportError;sys
_check_blosc;ImportError;sys
read_msgpack;ValueError;sys
unconvert;ValueError;sys
encode;NotImplementedError;sys
encode;NotImplementedError;sys
encode;Exception;sys
register_writer;ValueError;sys
__init__;ImportError;sys
__init__;ValueError;sys
__init__;ValueError;sys
_parse_excel;NotImplementedError;sys
_validate_freeze_panes;ValueError;sys
_get_sheet_name;ValueError;sys
check_extension;ValueError;sys
__init__;ValueError;sys
to_feather;ValueError;sys
to_feather;ValueError;sys
to_feather;ValueError;sys
to_feather;ValueError;sys
to_feather;ValueError;sys
_check_columns;AssertionError;sys
_check_columns;AssertionError;sys
read_clipboard;NotImplementedError;sys
to_clipboard;ValueError;sys
_tables;ImportError;sys
read_hdf;ValueError;sys
read_hdf;FileNotFoundError;usr
read_hdf;IOError;sys
read_hdf;NotImplementedError;sys
read_hdf;ValueError;sys
read_hdf;ValueError;sys
__init__;ValueError;sys
__getattr__;AttributeError;sys
open;PossibleDataLossError;usr
get;KeyError;sys
select;KeyError;sys
select_as_multiple;TypeError;sys
select_as_multiple;ValueError;sys
select_as_multiple;KeyError;sys
select_as_multiple;TypeError;sys
select_as_multiple;ValueError;sys
remove;KeyError;sys
remove;ValueError;sys
append;TypeError;sys
append_to_multiple;TypeError;sys
append_to_multiple;ValueError;sys
append_to_multiple;ValueError;sys
append_to_multiple;ValueError;sys
create_table_index;TypeError;sys
_check_if_open;ClosedFileError;usr
_create_storer;TypeError;sys
_create_storer;TypeError;sys
_write_to_group;ValueError;sys
_write_to_group;ValueError;sys
get_result;TypeError;sys
validate_col;ValueError;sys
validate_attr;TypeError;sys
update_info;ValueError;sys
validate_metadata;ValueError;sys
set_kind;AssertionError;sys
set_atom;TypeError;sys
set_atom;TypeError;sys
set_atom;TypeError;sys
set_atom_string;TypeError;sys
set_atom_categorical;NotImplementedError;sys
set_atom_categorical;NotImplementedError;sys
validate_attr;ValueError;sys
validate_attr;ValueError;sys
validate_names;ValueError;sys
read;NotImplementedError;sys
write;NotImplementedError;sys
delete;TypeError;sys
