name_func;id_handler;exception_name;user/sys
versions_from_file;7;NotThisMethod;usr
_get_standard_colors;31;ValueError;sys
_remove_labels_from_axis;38;;usr
load_reduce;49;;usr
load;50;;usr
__delitem__;52;KeyError;sys
popitem;53;KeyError;sys
pop;54;KeyError;sys
validate_transpose_for_generic;55;ValueError;sys
get_writer;62;ValueError;sys
__init__;63;ImportError;sys
__new__;67;error;usr
_try_import;72;ImportError;sys
_try_import;73;ImportError;sys
read_hdf;79;;usr
__init__;80;ImportError;sys
open;84;;usr
open;84;e;usr
open;84;IOError;sys
open;84;;usr
remove;86;ValueError;sys
_validate_format;89;TypeError;sys
validate_multiindex;104;ValueError;sys
create_axes;105;TypeError;sys
create_axes;106;ValueError;sys
create_axes;107;ValueError;sys
create_axes;109;e;usr
create_axes;109;Exception;sys
write_data_chunk;110;Exception;sys
write_data_chunk;111;TypeError;sys
generate;115;ValueError;sys
_get_dtypes;118;ValueError;sys
_get_dtypes;119;ValueError;sys
_read_old_header;120;ValueError;sys
_read_old_header;121;ValueError;sys
read;123;;usr
read;124;;usr
_do_convert_categoricals;125;ValueError;sys
_try_import;127;ImportError;sys
read_pickle;130;;usr
__init__;137;ValueError;sys
__next__;139;;usr
_cast_types;142;ValueError;sys
read;144;;usr
read;145;;usr
_infer_columns;146;ValueError;sys
_infer_columns;146;EmptyDataError;usr
_infer_columns;147;EmptyDataError;usr
_next_line;149;StopIteration;sys
_get_lines;153;;usr
read_sql_table;163;ValueError;sys
insert_data;166;ValueError;sys
_get_unicode_name;170;ValueError;sys
run_transaction;171;;usr
_build_doc;181;ValueError;sys
_build_doc;181;;usr
__init__;186;ImportError;sys
__init__;187;ImportError;sys
json_normalize;188;KeyError;sys
_ensure_valid_index;232;ValueError;sys
_sanitize_column;233;e;usr
_sanitize_column;233;TypeError;sys
_apply_standard;239;;usr
_ixs;248;;usr
__getitem__;251;;usr
__getitem__;251;;usr
_get_with;252;;usr
_get_with;253;;usr
__setitem__;257;;usr
__setitem__;258;ValueError;sys
__setitem__;258;IndexError;sys
_sanitize_array;267;;usr
_sanitize_array;268;;usr
_arith_method_SERIES;270;TypeError;sys
_arith_method_SERIES;271;;usr
_bool_method_SERIES;274;TypeError;sys
_arith_method_FRAME;275;TypeError;sys
_aggregate;280;ValueError;sys
_aggregate_multiple_funcs;283;;usr
_aggregate_multiple_funcs;286;;usr
_aggregate_multiple_funcs;287;ValueError;sys
item;288;ValueError;sys
_get_indices;289;ValueError;sys
_make_wrapper;292;ValueError;sys
_cython_transform;294;GroupByError;usr
_cython_agg_general;295;GroupByError;usr
mean;298;;usr
median;300;;usr
_add_numeric_operations;302;SpecificationError;usr
_cython_operation;305;;usr
filter;313;TypeError;sys
filter;313;TypeError;sys
_transform_general;325;ValueError;sys
_aggregate_item_by_item;329;;usr
_interpolate_scipy_wrapper;332;ImportError;sys
_interpolate_scipy_wrapper;333;ImportError;sys
_interpolate_scipy_wrapper;334;ImportError;sys
_astype;339;;usr
eval;348;;usr
where;349;TypeError;sys
_prep_values;365;TypeError;sys
validate;366;ImportError;sys
_validate_freq;369;ValueError;sys
