name_func;id_handler;name;user/sys;tuple
ticket_role;0;ValueError;sys;1
get_object_or_404;1;AttributeError;sys;1
get_list_or_404;3;AttributeError;sys;1
resolve_url;4;NoReverseMatch;usr;1
get_signed_cookie;6;KeyError;sys;1
scheme;8;ValueError;sys;1
body;9;IOError;sys;1
_load_post_and_files;10;MultiPartParserError;usr;1
read;11;IOError;sys;1
readline;12;IOError;sys;1
__init__;13;UnicodeDecodeError;sys;1
__init__;14;UnicodeDecodeError;sys;1
__init__;15;ValueError;usr;0
__init__;15;TypeError;usr;0
parse;16;StopUpload;usr;1
parse;17;KeyError;usr;0
parse;17;IndexError;usr;0
parse;17;AttributeError;usr;0
parse;18;_BASE64_DECODE_ERROR;usr;1
parse;19;IndexError;usr;0
parse;19;TypeError;usr;0
parse;19;ValueError;usr;0
parse;20;SkipFile;usr;1
parse;21;StopFutureHandlers;usr;1
parse;22;Exception;sys;1
read;23;StopIteration;sys;1
__next__;24;InputStreamExhausted;usr;1
__next__;25;InputStreamExhausted;usr;1
exhaust;26;TypeError;sys;1
parse_boundary_stream;27;ValueError;sys;1
parse_boundary_stream;28;ValueError;sys;1
_convert_to_charset;29;UnicodeError;sys;1
__delitem__;30;KeyError;sys;1
close;31;Exception;sys;1
content;32;Exception;sys;1
__init__;33;KeyError;sys;1
__init__;34;KeyError;sys;1
process_view;35;KeyError;sys;1
process_view;36;IOError;sys;1
get_callable;37;ImportError;sys;1
get_callable;38;AttributeError;sys;1
get_mod_func;39;ValueError;sys;1
reverse;40;KeyError;sys;1
reverse;41;KeyError;sys;1
clear_script_prefix;42;AttributeError;sys;1
is_valid_path;43;Resolver404;usr;1
translate_url;44;Resolver404;usr;1
translate_url;45;NoReverseMatch;usr;1
resolve;47;Resolver404;usr;1
url_patterns;48;TypeError;sys;1
get_max_age;49;ValueError;usr;0
get_max_age;49;TypeError;usr;0
get_conditional_response;50;ValueError;sys;1
is_valid_ipv6_address;51;ValidationError;usr;1
is_valid_ipv6_address;52;ValueError;sys;1
emit;53;Exception;sys;1
get_git_changeset;54;ValueError;sys;1
discard;55;KeyError;sys;1
__getitem__;56;KeyError;sys;1
__getitem__;57;IndexError;sys;1
get;58;KeyError;sys;1
getlist;59;KeyError;sys;1
update;60;TypeError;sys;1
symlinks_supported;61;OSError;usr;0
symlinks_supported;61;NotImplementedError;usr;0
symlinks_supported;61;AttributeError;usr;0
code_changed;62;ValueError;sys;1
check_errors;63;Exception;sys;1
python_reloader;64;KeyboardInterrupt;sys;1
python_reloader;65;KeyboardInterrupt;sys;1
func_accepts_kwargs;66;TypeError;sys;1
func_accepts_kwargs;67;TypeError;usr;0
func_accepts_kwargs;67;AttributeError;usr;0
is_iterable;68;TypeError;sys;1
import_string;69;ValueError;sys;1
import_string;70;AttributeError;sys;1
autodiscover_modules;71;Exception;sys;1
module_has_submodule;72;AttributeError;sys;1
module_has_submodule;73;KeyError;sys;1
module_has_submodule;74;AttributeError;sys;1
module_has_submodule;75;KeyError;sys;1
module_has_submodule;76;ImportError;sys;1
module_has_submodule;77;ImportError;sys;1
module_has_submodule;78;ImportError;sys;1
_truncate_html;79;ValueError;sys;1
_replace_entity;80;ValueError;sys;1
_replace_entity;81;ValueError;usr;0
_replace_entity;81;KeyError;usr;0
iter_format_modules;82;ImportError;sys;1
get_format;83;KeyError;sys;1
get_format;84;AttributeError;sys;1
normalize;85;StopIteration;sys;1
normalize;86;StopIteration;sys;1
normalize;87;NotImplementedError;sys;1
get_quantifier;88;StopIteration;sys;1
get_quantifier;89;StopIteration;sys;1
e;90;NotImplementedError;sys;1
T;91;Exception;sys;1
Z;92;Exception;sys;1
I;93;Exception;sys;1
force_text;94;UnicodeDecodeError;sys;1
force_bytes;95;UnicodeEncodeError;sys;1
repercent_broken_unicode;96;UnicodeDecodeError;sys;1
get_system_encoding;97;Exception;sys;1
_archive_cls;98;AttributeError;sys;1
extract;99;KeyError;usr;0
extract;99;AttributeError;usr;0
_isdst;100;OverflowError;usr;0
_isdst;100;ValueError;usr;0
_get_timezone_name;101;AttributeError;sys;1
make_middleware_decorator;102;Exception;sys;1
parse_http_date;103;Exception;sys;1
parse_http_date_safe;104;Exception;sys;1
urlsafe_base64_decode;105;LookupError;usr;0
urlsafe_base64_decode;105;BinasciiError;usr;0
is_safe_url;106;UnicodeDecodeError;sys;1
_strip_once;107;HTMLParseError;usr;1
_strip_once;108;HTMLParseError;usr;1
smart_urlquote;109;ValueError;sys;1
smart_urlquote;110;UnicodeError;sys;1
urlize;111;UnicodeError;sys;1
__get__;112;AttributeError;sys;1
__get_module;113;KeyError;sys;1
load_module;114;KeyError;sys;1
remove_move;115;AttributeError;sys;1
remove_move;116;KeyError;sys;1
_add_installed_apps_translations;117;AppRegistryNotReady;usr;1
get_language;118;AttributeError;sys;1
get_supported_language_variant;119;KeyError;sys;1
get_language_from_path;120;LookupError;sys;1
get_language_from_request;121;LookupError;sys;1
get_language_from_request;122;LookupError;sys;1
get_language_from_request;123;LookupError;sys;1
parse_accept_lang_header;124;ValueError;sys;1
lazy_number;125;KeyError;sys;1
lazy_number;126;TypeError;sys;1
get_language_info;127;KeyError;sys;1
get_language_info;128;KeyError;sys;1
create;129;ImportError;sys;1
create;130;AttributeError;sys;1
create;131;AttributeError;sys;1
create;132;AttributeError;sys;1
get_model;133;KeyError;sys;1
get_app_config;134;KeyError;sys;1
lazy_model_operation;135;LookupError;sys;1
load_backend;136;ImportError;sys;1
load_backend;137;EnvironmentError;sys;1
ensure_defaults;138;KeyError;sys;1
prepare_test_settings;139;KeyError;sys;1
close_all;140;AttributeError;sys;1
_router_func;141;AttributeError;sys;1
allow_relation;142;AttributeError;sys;1
allow_migrate;143;AttributeError;sys;1
__exit__;144;DatabaseError;usr;1
__exit__;145;Error;usr;1
__exit__;146;DatabaseError;usr;1
__exit__;147;Error;usr;1
__exit__;148;Error;usr;1
__exit__;149;Error;usr;1
_non_atomic_requests;150;AttributeError;sys;1
executemany;152;TypeError;sys;1
_clone_test_db;157;Exception;sys;1
_clone_test_db;158;Exception;sys;1
datetime_trunc_sql;159;ValueError;sys;1
_create_test_db;160;Exception;sys;1
_create_test_db;161;Exception;sys;1
prepare_sql_script;162;ImportError;sys;1
supports_stddev;163;NotImplementedError;sys;1
_setup_environment;164;ImportError;sys;1
init_connection_state;165;DatabaseError;usr;1
init_connection_state;166;AttributeError;sys;1
oracle_version;169;ValueError;sys;1
_format_params;170;AttributeError;sys;1
_create_test_db;174;Exception;sys;1
_create_test_db;175;DatabaseError;usr;1
_create_test_db;176;Exception;sys;1
_create_test_db;177;Exception;sys;1
_create_test_db;178;Exception;sys;1
_create_test_db;179;Exception;sys;1
_handle_objects_preventing_db_destruction;180;Exception;sys;1
_handle_objects_preventing_db_destruction;181;Exception;sys;1
_execute_statements;182;Exception;sys;1
_execute_allow_fail_statements;183;DatabaseError;usr;1
alter_field;184;DatabaseError;usr;1
_parse_version;185;ValueError;usr;0
_parse_version;185;TypeError;usr;0
get_new_connection;186;KeyError;sys;1
_nodb_connection;188;DatabaseError;usr;0
_nodb_connection;188;WrappedDatabaseError;usr;0
runshell_db;189;UnicodeEncodeError;sys;1
_clone_test_db;190;Exception;sys;1
_clone_test_db;191;Exception;sys;1
_sqlite_date_extract;192;ValueError;usr;0
_sqlite_date_extract;192;TypeError;usr;0
_sqlite_date_trunc;193;ValueError;usr;0
_sqlite_date_trunc;193;TypeError;usr;0
_sqlite_datetime_parse;194;ValueError;usr;0
_sqlite_datetime_parse;194;TypeError;usr;0
_sqlite_time_extract;195;ValueError;usr;0
_sqlite_time_extract;195;TypeError;usr;0
_sqlite_format_dtdelta;196;ValueError;usr;0
_sqlite_format_dtdelta;196;TypeError;usr;0
__getitem__;197;KeyError;sys;1
get_relations;198;TypeError;sys;1
_create_test_db;199;Exception;sys;1
_clone_test_db;200;Exception;sys;1
_clone_test_db;201;Exception;sys;1
quote_value;202;ImportError;sys;1
check_expression_support;204;FieldError;usr;1
make_model_tuple;206;ValueError;usr;0
make_model_tuple;206;AssertionError;usr;0
__init__;207;KeyError;sys;1
__init__;208;KeyError;sys;1
__init__;209;KeyError;sys;1
__init__;210;AttributeError;usr;0
__init__;210;FieldDoesNotExist;usr;0
__repr__;211;UnicodeEncodeError;usr;0
__repr__;211;UnicodeDecodeError;usr;0
serializable_value;212;FieldDoesNotExist;usr;1
save;213;AttributeError;sys;1
_get_next_or_previous_by_FIELD;214;IndexError;sys;1
full_clean;215;ValidationError;usr;1
full_clean;216;ValidationError;usr;1
full_clean;217;ValidationError;usr;1
clean_fields;218;ValidationError;usr;1
_check_swappable;219;ValueError;sys;1
_check_swappable;220;LookupError;sys;1
_check_local_fields;221;KeyError;sys;1
as_sql;222;FieldError;usr;1
as_sql;223;FieldError;usr;1
compile;224;FieldError;usr;1
as_sqlite;225;FieldError;usr;1
process_rhs;226;TypeError;sys;1
as_sql;227;IndexError;usr;0
as_sql;227;TypeError;usr;0
as_sql;227;ValueError;usr;0
normalize_together;228;TypeError;sys;1
_prepare;229;StopIteration;sys;1
add_field;230;AttributeError;sys;1
swapped;231;ValueError;sys;1
base_manager;232;KeyError;sys;1
default_manager;233;KeyError;sys;1
_forward_fields_map;234;AttributeError;sys;1
fields_map;235;AttributeError;sys;1
get_field;236;KeyError;sys;1
get_field;237;KeyError;sys;1
_get_fields;238;KeyError;sys;1
__get__;239;FieldDoesNotExist;usr;1
_get_lookup;240;KeyError;sys;1
_get_lookup;241;AttributeError;sys;1
__iter__;242;KeyError;sys;1
aggregate;243;AttributeError;usr;0
aggregate;243;TypeError;usr;0
_create_object_from_params;246;IntegrityError;usr;1
annotate;248;AttributeError;usr;0
annotate;248;TypeError;usr;0
columns;249;ValueError;sys;1
prefetch_related_objects;250;AttributeError;usr;0
prefetch_related_objects;250;TypeError;usr;0
prefetch_one_level;253;AttributeError;sys;1
db_check;255;KeyError;sys;1
db_type;256;KeyError;sys;1
to_python;257;TypeError;usr;0
to_python;257;ValueError;usr;0
to_python;258;ValueError;sys;1
to_python;259;ValueError;sys;1
to_python;260;ValueError;sys;1
get_prep_value;261;AttributeError;sys;1
_check_decimal_places;262;TypeError;sys;1
_check_decimal_places;263;ValueError;sys;1
_check_max_digits;264;TypeError;sys;1
_check_max_digits;265;ValueError;sys;1
to_python;267;ValueError;sys;1
to_python;268;TypeError;usr;0
to_python;268;ValueError;usr;0
to_python;269;TypeError;usr;0
to_python;269;ValueError;usr;0
to_python;271;ValueError;sys;1
get_db_prep_value;272;AttributeError;sys;1
to_python;273;ValueError;sys;1
_check_image_library_installed;274;ImportError;sys;1
get_normalized_value;275;AttributeError;sys;1
__get__;276;AttributeError;sys;1
__get__;277;AttributeError;sys;1
__set__;279;AttributeError;sys;1
create_reverse_many_to_one_manager;280;AttributeError;usr;0
create_reverse_many_to_one_manager;280;KeyError;usr;0
create_forward_many_to_many_manager;281;AttributeError;usr;0
create_forward_many_to_many_manager;281;KeyError;usr;0
__init__;283;AttributeError;sys;1
__init__;284;AttributeError;sys;1
get_from_clause;286;KeyError;sys;1
execute_sql;287;EmptyResultSet;usr;1
execute_sql;288;Exception;sys;1
as_sql;289;EmptyResultSet;usr;1
get_aggregation;290;EmptyResultSet;usr;1
build_filter;291;MultiJoin;usr;1
names_to_path;292;FieldDoesNotExist;usr;1
names_to_path;293;AttributeError;sys;1
add_fields;294;MultiJoin;usr;1
add_fields;295;FieldError;usr;1
get_loaded_field_names;296;AttributeError;sys;1
reload_model;297;LookupError;sys;1
reload_model;298;LookupError;sys;1
reload_model;299;KeyError;sys;1
render_multiple;300;InvalidBasesError;usr;1
unregister_model;301;KeyError;sys;1
from_model;302;TypeError;sys;1
from_model;303;TypeError;sys;1
render;304;LookupError;sys;1
remove_replaced_nodes;305;KeyError;sys;1
remove_replacement_node;306;KeyError;sys;1
forwards_plan;307;RuntimeError;sys;1
backwards_plan;308;RuntimeError;sys;1
ask_initial;309;LookupError;sys;1
ask_initial;310;ImportError;sys;1
_choice_input;311;ValueError;sys;1
_ask_default;312;SyntaxError;usr;0
_ask_default;312;NameError;usr;0
load_disk;313;ImportError;sys;1
check_key;314;IndexError;sys;1
build_graph;315;NodeNotFoundError;usr;1
ensure_schema;316;DatabaseError;usr;1
basedir;317;ImportError;sys;1
basedir;318;ValueError;sys;1
basedir;319;ImportError;sys;1
basedir;320;ValueError;sys;1
swappable_first_key;321;LookupError;sys;1
__new__;322;AttributeError;sys;1
send_robust;323;Exception;sys;1
cleanse_setting;324;TypeError;sys;1
cleanse_special_types;325;Exception;sys;1
_get_lines_from_file;326;ImportError;sys;1
_get_lines_from_file;327;OSError;usr;0
_get_lines_from_file;327;IOError;usr;0
technical_404_response;328;IndexError;usr;0
technical_404_response;328;TypeError;usr;0
technical_404_response;328;KeyError;usr;0
technical_404_response;329;IndexError;usr;0
technical_404_response;329;TypeError;usr;0
technical_404_response;329;KeyError;usr;0
technical_404_response;330;Resolver404;usr;1
csrf_failure;331;TemplateDoesNotExist;usr;1
page_not_found;332;AttributeError;usr;0
page_not_found;332;IndexError;usr;0
page_not_found;333;TemplateDoesNotExist;usr;1
server_error;334;TemplateDoesNotExist;usr;1
bad_request;335;TemplateDoesNotExist;usr;1
