func_name;id;size;handlers
ticket_role;0;1;1
get_object_or_404;1;1;2
get_list_or_404;2;1;1
resolve_url;3;1;1
_BaseCookie__set;4;1;1
get_signed_cookie;5;1;1
get_signed_cookie;6;1;1
scheme;7;1;1
body;8;1;1
_load_post_and_files;9;1;1
read;10;1;1
readline;11;1;1
__init__;12;1;1
__init__;13;1;1
__init__;14;1;1
parse;15;0;1
parse;16;2;1
parse;17;1;1
parse;18;1;1
parse;19;0;1
parse;20;0;1
parse;21;1;1
read;22;1;1
__next__;23;1;1
__next__;24;1;1
exhaust;25;1;1
parse_boundary_stream;26;1;1
parse_boundary_stream;27;1;1
_convert_to_charset;28;0;1
__delitem__;29;1;1
close;30;0;1
content;31;0;1
__init__;32;1;1
__init__;33;1;1
process_view;34;1;1
process_view;35;1;1
get_callable;36;1;1
get_callable;37;1;1
get_mod_func;38;1;1
reverse;39;1;1
reverse;40;2;1
clear_script_prefix;41;1;1
is_valid_path;42;1;1
translate_url;43;1;1
translate_url;44;1;1
regex;45;1;1
resolve;46;1;1
url_patterns;47;0;1
get_max_age;48;1;1
get_conditional_response;49;1;1
is_valid_ipv6_address;50;0;1
is_valid_ipv6_address;51;0;1
emit;52;2;1
get_git_changeset;53;1;1
discard;54;0;1
__getitem__;55;1;1
__getitem__;56;1;1
get;57;1;1
getlist;58;1;1
update;59;0;1
symlinks_supported;60;1;1
code_changed;61;1;1
check_errors;62;0;1
python_reloader;63;0;1
python_reloader;64;1;1
func_accepts_kwargs;65;1;1
func_accepts_kwargs;66;1;1
is_iterable;67;0;1
import_string;68;1;1
import_string;69;1;1
autodiscover_modules;70;0;1
module_has_submodule;71;2;1
module_has_submodule;72;1;1
module_has_submodule;73;1;1
module_has_submodule;74;1;1
module_has_submodule;75;2;1
module_has_submodule;76;1;1
module_has_submodule;77;2;1
_truncate_html;78;1;1
_replace_entity;79;1;1
_replace_entity;80;1;1
iter_format_modules;81;0;1
get_format;82;1;1
get_format;83;3;1
normalize;84;1;1
normalize;85;0;2
get_quantifier;86;1;1
get_quantifier;87;1;1
e;88;0;1
T;89;1;1
Z;90;1;1
I;91;0;1
force_text;92;0;1
force_bytes;93;0;1
repercent_broken_unicode;94;0;1
get_system_encoding;95;1;1
_archive_cls;96;1;1
extract;97;1;1
_isdst;98;1;1
_get_timezone_name;99;1;1
make_middleware_decorator;100;1;1
parse_http_date;101;8;1
parse_http_date_safe;102;1;1
urlsafe_base64_decode;103;1;1
is_safe_url;104;1;1
_strip_once;105;0;1
_strip_once;106;0;1
smart_urlquote;107;1;1
smart_urlquote;108;1;1
urlize;109;1;1
__get__;110;0;1
__get_module;111;1;1
load_module;112;1;1
remove_move;113;0;1
remove_move;114;1;1
_add_installed_apps_translations;115;1;1
get_language;116;1;1
get_supported_language_variant;117;0;1
get_language_from_path;118;1;1
get_language_from_request;119;1;1
get_language_from_request;120;1;1
get_language_from_request;121;1;1
parse_accept_lang_header;122;1;1
lazy_number;123;1;1
lazy_number;124;1;1
get_language_info;125;1;1
get_language_info;126;1;1
create;127;1;1
create;128;1;1
create;129;1;1
create;130;1;1
get_model;131;1;1
get_app_config;132;1;1
lazy_model_operation;133;1;1
load_backend;134;1;1
load_backend;135;1;1
ensure_defaults;136;1;1
prepare_test_settings;137;1;1
close_all;138;1;1
_router_func;139;1;1
allow_relation;140;1;1
allow_migrate;141;1;1
__exit__;142;0;1
__exit__;143;0;1
__exit__;144;0;1
__exit__;145;0;1
__exit__;146;0;1
__exit__;147;0;1
_non_atomic_requests;148;0;1
__exit__;149;0;1
executemany;150;1;1
execute;151;1;1
executemany;152;1;1
_rollback;153;0;1
is_usable;154;0;1
_clone_test_db;155;0;1
_clone_test_db;156;0;1
datetime_trunc_sql;157;1;1
_create_test_db;158;0;1
_create_test_db;159;0;1
prepare_sql_script;160;0;1
supports_stddev;161;1;1
_setup_environment;162;0;1
init_connection_state;163;0;1
init_connection_state;164;1;1
_commit;165;1;1
is_usable;166;0;1
oracle_version;167;1;1
_format_params;168;1;1
execute;169;1;1
executemany;170;1;1
close;171;0;1
_create_test_db;172;0;1
_create_test_db;173;0;2
_create_test_db;174;0;1
_create_test_db;175;0;1
_create_test_db;176;0;1
_handle_objects_preventing_db_destruction;177;0;1
_handle_objects_preventing_db_destruction;178;0;1
_execute_statements;179;0;1
_execute_allow_fail_statements;180;2;1
alter_field;181;0;1
_parse_version;182;1;1
get_new_connection;183;1;1
is_usable;184;0;1
_nodb_connection;185;0;1
runshell_db;186;1;1
_clone_test_db;187;0;1
_clone_test_db;188;0;1
_sqlite_date_extract;189;1;1
_sqlite_date_trunc;190;1;1
_sqlite_datetime_parse;191;1;1
_sqlite_time_extract;192;1;1
_sqlite_format_dtdelta;193;2;1
__getitem__;194;1;1
get_relations;195;1;1
_create_test_db;196;0;1
_clone_test_db;197;0;1
_clone_test_db;198;0;1
quote_value;199;1;2
check_expression_support;200;1;1
supports_stddev;201;1;1
make_model_tuple;202;2;1
__init__;203;2;1
__init__;204;1;1
__init__;205;1;1
__init__;206;0;1
__repr__;207;1;1
serializable_value;208;1;1
save;209;0;1
_get_next_or_previous_by_FIELD;210;1;1
full_clean;211;0;1
full_clean;212;0;1
full_clean;213;0;1
clean_fields;214;0;1
_check_swappable;215;0;2
_check_local_fields;216;1;1
as_sql;217;1;1
as_sql;218;1;1
compile;219;1;1
as_sqlite;220;0;1
process_rhs;221;1;1
as_sql;222;0;1
normalize_together;223;2;1
_prepare;224;1;1
add_field;225;0;1
swapped;226;1;1
base_manager;227;1;1
default_manager;228;1;1
_forward_fields_map;229;1;1
fields_map;230;1;1
get_field;231;1;1
get_field;232;1;1
_get_fields;233;1;1
__get__;234;1;1
_get_lookup;235;1;2
__iter__;236;1;1
aggregate;237;0;1
get_or_create;238;1;1
update_or_create;239;1;1
_create_object_from_params;240;1;1
_create_object_from_params;241;1;1
annotate;242;0;1
columns;243;2;1
prefetch_related_objects;244;1;1
prefetch_related_objects;245;1;1
prefetch_one_level;246;0;1
prefetch_one_level;247;1;1
run_validators;248;0;1
