name_func;id_handler;exception_name;user/sys
versions_from_file;7;NotThisMethod;usr
resolve;23;UndefinedVariableError;usr
__init__;33;ValueError;sys
__init__;34;ValueError;sys
_evaluate_numexpr;38;null;sys
_where_numexpr;40;TypeError;sys
visit_Subscript;45;ValueError;sys
evaluate;48;ValueError;sys
evaluate;49;ValueError;sys
visit_Call_35;55;null;sys
visit_Call_legacy;57;null;sys
_evaluate;59;UndefinedVariableError;usr
_get_cluster_type;62;ValueError;sys
__new__;72;ValueError;sys
construct_from_string;74;TypeError;sys
_validate_date_like_dtype;86;TypeError;sys
astype;111;ValueError;sys
__getitem__;114;Exception;sys
load_reduce;128;null;sys
load;129;null;sys
__delitem__;131;KeyError;sys
popitem;132;KeyError;sys
pop;133;KeyError;sys
validate_transpose_for_generic;134;ValueError;sys
get_data;135;ValueError;sys
create_query;136;ValueError;sys
get_writer;144;ValueError;sys
__new__;148;error;usr
read_hdf;155;null;sys
__init__;156;ImportError;sys
open;161;null;sys
open;161;e;usr
open;161;IOError;sys
open;161;null;sys
remove;163;ValueError;sys
_validate_format;165;TypeError;sys
validate_multiindex;180;ValueError;sys
create_axes;181;TypeError;sys
create_axes;182;ValueError;sys
create_axes;183;ValueError;sys
create_axes;185;e;usr
create_axes;185;Exception;sys
write_data_chunk;186;Exception;sys
write_data_chunk;187;TypeError;sys
generate;191;ValueError;sys
_get_dtypes;194;ValueError;sys
_get_dtypes;195;ValueError;sys
_read_old_header;196;ValueError;sys
_read_old_header;197;ValueError;sys
read;199;null;sys
read;200;null;sys
_do_convert_categoricals;201;ValueError;sys
_check_google_client_version;203;ImportError;sys
_test_google_api_imports;205;ImportError;sys
get_service_account_credentials;212;InvalidPrivateKeyFormat;usr
run_query;216;AccessDenied;usr
run_query;216;AccessDenied;usr
read_pickle;235;null;sys
__next__;250;null;sys
read;254;null;sys
read;255;null;sys
_infer_columns;256;ValueError;sys
_infer_columns;256;EmptyDataError;usr
_infer_columns;257;EmptyDataError;usr
_next_line;259;StopIteration;sys
_next_line;260;Error;usr
_get_lines;264;Exception;sys
_get_lines;264;null;sys
_get_lines;264;null;sys
read_sql_table;274;ValueError;sys
insert_data;277;ValueError;sys
_get_unicode_name;281;ValueError;sys
run_transaction;282;null;sys
_build_doc;292;ValueError;sys
_build_doc;292;null;sys
_ensure_valid_index;313;ValueError;sys
_sanitize_column;314;e;usr
_sanitize_column;314;TypeError;sys
_apply_standard;319;null;sys
_ixs;328;null;sys
__getitem__;331;null;sys
__getitem__;331;null;sys
_get_with;332;null;sys
_get_with;333;null;sys
__setitem__;337;null;sys
__setitem__;338;ValueError;sys
__setitem__;338;IndexError;sys
_make_dt_accessor;346;AttributeError;sys
_sanitize_array;348;null;sys
_sanitize_array;349;null;sys
_arith_method_SERIES;351;TypeError;sys
_arith_method_SERIES;352;null;sys
_bool_method_SERIES;355;TypeError;sys
_arith_method_FRAME;356;TypeError;sys
_aggregate_multiple_funcs;362;null;sys
_aggregate_multiple_funcs;364;null;sys
item;365;ValueError;sys
_groupby_function;367;SpecificationError;usr
_get_indices;368;ValueError;sys
_make_wrapper;371;ValueError;sys
_cython_transform;372;GroupByError;usr
_cython_agg_general;373;GroupByError;usr
mean;376;null;sys
median;378;null;sys
_cython_operation;381;null;sys
filter;390;TypeError;sys
filter;390;TypeError;sys
_transform_general;401;ValueError;sys
_aggregate_item_by_item;405;null;sys
_interpolate_scipy_wrapper;408;ImportError;sys
