func_name;id;size;handlers
run;0;0;1
run;1;0;1
get_root;2;1;1
run_command;3;2;1
git_get_keywords;4;1;1
do_vcs_install;5;2;1
do_vcs_install;6;1;1
versions_from_file;7;0;1
get_versions;8;3;1
get_versions;9;2;1
get_versions;10;3;1
get_versions;11;0;1
do_setup;12;1;1
do_setup;13;0;1
do_setup;14;0;1
run_command;15;2;1
git_get_keywords;16;1;1
get_versions;17;1;1
get_versions;18;1;1
get_versions;19;2;1
get_versions;20;0;1
_replacer;21;1;1
resolve;22;2;1
resolve;23;1;1
type;24;1;1
type;25;1;1
is_datetime;26;1;1
is_datetime;27;1;1
_in;28;1;1
_in;29;1;1
_not_in;30;1;1
_not_in;31;1;1
_cast_inplace;32;1;1
__init__;33;1;1
__init__;34;1;1
_align;35;1;1
_reconstruct_object;36;1;1
_evaluate_numexpr;37;3;2
_where_numexpr;38;4;2
_has_bool_dtype;39;1;1
_has_bool_dtype;40;1;1
_resolve_name;41;1;1
visit_Subscript;42;1;1
visit_Subscript;43;1;1
visit_Attribute;44;1;1
visit_Attribute;45;1;1
evaluate;46;1;1
evaluate;47;1;1
_result_type_many;48;1;1
visit_Subscript;49;1;1
visit_Assign;50;1;1
visit_Attribute;51;3;1
visit_Call_35;52;1;1
visit_Call_35;53;1;1
visit_Call_legacy;54;1;1
visit_Call_legacy;55;1;1
_evaluate;56;4;1
_evaluate;57;1;1
__init__;58;0;1
_convert_x;59;1;1
_get_cluster_type;60;1;1
solve;61;1;1
inv;62;1;1
__init__;63;0;1
_f_stat_raw;64;3;1
_f_stat_raw;65;3;1
array_equivalent;66;1;1
is_dtype;67;1;1
__new__;68;1;1
construct_from_string;69;0;1
__new__;70;1;1
__new__;71;1;1
construct_from_string;72;1;1
__new__;73;1;1
construct_from_string;74;1;1
is_dtype;75;0;1
_concat_compat;76;1;1
is_datetime64_dtype;77;1;1
is_dtype_equal;78;3;1
is_datetime64_ns_dtype;79;1;1
is_bool_dtype;80;1;1
_get_dtype_type;81;1;1
_get_dtype_from_object;82;0;1
_get_dtype_from_object;83;1;1
_validate_date_like_dtype;84;1;1
pandas_dtype;85;1;1
pandas_dtype;86;1;1
pandas_dtype;87;1;1
_possibly_downcast_to_dtype;88;0;1
_possibly_downcast_to_dtype;89;0;1
_possibly_downcast_to_dtype;90;1;1
_maybe_upcast_putmask;91;2;1
_maybe_upcast_putmask;92;0;1
_maybe_promote;93;1;1
_maybe_promote;94;1;1
_maybe_convert_scalar;95;1;1
_coerce_to_dtypes;96;0;1
_possibly_convert_objects;97;1;1
_soft_convert_objects;98;3;1
_possibly_infer_to_datetimelike;99;1;2
