name_func;id_handler;name;user/sys;tuple
run;0;Exception;sys;1
run;1;Exception;sys;1
get_root;2;NameError;sys;1
run_command;3;EnvironmentError;sys;1
git_get_keywords;4;EnvironmentError;sys;1
do_vcs_install;5;NameError;sys;1
do_vcs_install;6;EnvironmentError;sys;1
versions_from_file;7;EnvironmentError;sys;1
get_versions;8;NotThisMethod;usr;1
get_versions;9;NotThisMethod;usr;1
get_versions;10;NotThisMethod;usr;1
get_versions;11;NotThisMethod;usr;1
do_setup;12;EnvironmentError;sys;0
do_setup;12;NoSectionError;usr;0
do_setup;12;NoOptionError;usr;0
do_setup;13;EnvironmentError;sys;1
do_setup;14;EnvironmentError;sys;1
run_command;15;EnvironmentError;sys;1
git_get_keywords;16;EnvironmentError;sys;1
get_versions;17;NotThisMethod;usr;1
get_versions;18;NameError;sys;1
get_versions;19;NotThisMethod;usr;1
get_versions;20;NotThisMethod;usr;1
_mpl_le_1_2_1;21;ImportError;sys;1
_mpl_ge_1_3_1;22;ImportError;sys;1
_mpl_ge_1_4_0;23;ImportError;sys;1
_mpl_ge_1_5_0;24;ImportError;sys;1
_mpl_ge_2_0_0;25;ImportError;sys;1
_mpl_le_2_0_0;26;ImportError;sys;1
_mpl_ge_2_0_1;27;ImportError;sys;1
_mpl_ge_2_1_0;28;ImportError;sys;1
_get_standard_colors;29;KeyError;sys;1
_get_standard_colors;30;ValueError;sys;1
_get_standard_colors;31;ZeroDivisionError;sys;1
_convert_1d;32;Exception;sys;1
_convert_1d;33;Exception;sys;1
__call__;34;ValueError;sys;1
__call__;35;Exception;sys;1
format_date_labels;36;Exception;sys;1
_get_layout;37;KeyError;sys;1
_remove_labels_from_axis;38;Exception;sys;1
_handle_shared_axes;39;IndexError;sys;1
_compute_plot_data;40;AttributeError;sys;1
_post_plot_logic_common;41;Exception;sys;1
_apply_style_colors;42;IndexError;sys;1
_plot;43;IndexError;sys;0
_plot;43;KeyError;sys;0
_plot;43;TypeError;sys;0
strlen;45;UnicodeError;sys;1
east_asian_len;46;UnicodeError;sys;1
load_reduce;47;Exception;sys;1
__getitem__;51;KeyError;sys;1
__delitem__;52;KeyError;sys;1
popitem;53;KeyError;sys;1
pop;54;KeyError;sys;1
validate_transpose_for_generic;55;ValueError;sys;1
read_msgpack;56;TypeError;sys;0
read_msgpack;56;ValueError;sys;0
