func_name;id_try;id;size;exceptions
run;0;0;1;1
run;1;1;1;1
get_root;2;2;1;1
run_command;3;3;4;1
git_get_keywords;4;4;1;1
do_vcs_install;5;5;1;1
do_vcs_install;6;6;1;1
versions_from_file;7;7;1;1
get_versions;8;8;1;1
get_versions;9;9;1;1
get_versions;10;10;1;1
get_versions;11;11;1;1
do_setup;12;12;6;3
do_setup;13;13;1;1
do_setup;14;14;1;1
run_command;15;15;4;1
git_get_keywords;16;16;1;1
get_versions;17;17;1;1
get_versions;18;18;1;1
get_versions;19;19;1;1
get_versions;20;20;1;1
_mpl_le_1_2_1;21;21;1;1
_mpl_ge_1_3_1;22;22;1;1
_mpl_ge_1_4_0;23;23;1;1
_mpl_ge_1_5_0;24;24;1;1
_mpl_ge_2_0_0;25;25;1;1
_mpl_le_2_0_0;26;26;1;1
_mpl_ge_2_0_1;27;27;1;1
_mpl_ge_2_1_0;28;28;1;1
_get_standard_colors;29;29;1;1
_get_standard_colors;30;30;1;1
_get_standard_colors;31;31;1;1
_convert_1d;32;32;1;1
_convert_1d;33;33;1;1
__call__;34;34;1;1
__call__;35;35;1;1
format_date_labels;36;36;1;1
_get_layout;37;37;4;1
_remove_labels_from_axis;38;38;1;1
_handle_shared_axes;39;39;3;1
_compute_plot_data;40;40;1;1
_post_plot_logic_common;41;41;1;1
_apply_style_colors;42;42;1;1
_plot;43;43;1;3
u_safe;44;44;1;0
strlen;45;45;1;1
east_asian_len;46;46;1;1
load_reduce;47;47;15;1
load_reduce;48;48;1;0
load_reduce;49;49;1;0
load;50;50;1;0
__getitem__;51;51;1;1
__delitem__;52;52;1;1
popitem;53;53;1;1
pop;54;54;1;1
validate_transpose_for_generic;55;55;4;1
read_msgpack;56;56;1;2
unconvert;57;57;3;1
decode;58;58;1;0
__iter__;59;59;1;1
_get_default_writer;60;60;1;1
get_writer;61;61;1;1
get_writer;62;62;1;1
__init__;63;63;1;1
_parse_excel;64;64;1;1
_parse_excel;65;65;1;0
_parse_excel;66;66;1;1
__new__;67;67;2;1
__init__;68;68;1;1
_convert_to_fill;69;69;1;1
_convert_to_number_format;70;70;1;0
get_filepath_or_buffer;71;71;2;2
_try_import;72;72;1;1
_try_import;73;73;1;1
read_clipboard;74;74;1;0
to_clipboard;75;75;1;0
_tables;76;76;1;0
read_hdf;77;77;1;2
read_hdf;78;78;3;0
read_hdf;79;79;1;0
__init__;80;80;1;1
__getattr__;81;81;1;0
open;82;82;4;1
open;82;83;3;1
open;82;84;3;1
flush;83;85;1;0
remove;84;86;4;0
get_node;85;87;1;0
info;86;88;2;1
_validate_format;87;89;1;0
_create_storer;88;90;1;0
_create_storer;89;91;1;0
_create_storer;90;92;1;0
_create_storer;91;93;1;0
is_indexed;92;94;0;0
convert;93;95;2;0
create_for_block;94;96;1;0
convert;95;97;1;1
convert;96;98;1;0
set_version;97;99;1;0
write_array;98;100;1;1
write_array;99;101;1;0
shape;100;102;1;0
shape;101;103;1;0
validate_multiindex;102;104;1;1
create_axes;103;105;1;0
create_axes;104;106;1;0
create_axes;105;107;1;0
create_axes;106;108;1;3
create_axes;106;109;1;1
write_data_chunk;107;110;1;1
write_data_chunk;108;111;1;1
_get_info;109;112;1;0
_unconvert_index;110;113;1;1
__init__;111;114;1;0
generate;112;115;1;1
__init__;113;116;1;0
close;114;117;1;1
_get_dtypes;115;118;1;1
_get_dtypes;116;119;1;1
_read_old_header;117;120;1;0
_read_old_header;118;121;1;0
_null_terminate;119;122;1;0
read;120;123;2;1
read;121;124;2;1
_do_convert_categoricals;122;125;5;1
_check_column_names;123;126;1;0
_try_import;124;127;1;1
read_pickle;125;128;2;1
read_pickle;126;129;1;0
read_pickle;127;130;2;0
_is_url;128;131;1;0
_is_s3_url;129;132;1;0
_stringify_path;130;133;1;1
_stringify_path;131;134;1;1
_get_handle;132;135;1;1
_get_handle;133;136;1;1
__init__;134;137;1;1
_clean_options;135;138;1;1
__next__;136;139;2;1
_convert_to_ndarrays;137;140;2;1
_infer_types;138;141;2;1
_cast_types;139;142;1;1
close;140;143;1;0
read;141;144;8;1
read;142;145;2;1
_infer_columns;143;146;6;1
_infer_columns;144;147;2;1
_check_for_bom;145;148;1;1
_next_line;146;149;1;1
_next_iter_line;147;150;7;0
_get_index_name;148;151;1;1
_get_index_name;149;152;1;1
_get_lines;150;153;4;1
_make_date_converter;151;154;1;0
_make_date_converter;152;155;2;1
_make_date_converter;153;156;1;1
_floatify_na_values;154;157;1;0
_stringify_na_values;155;158;1;0
_stringify_na_values;156;159;1;0
__next__;157;160;2;1
_is_sqlalchemy_connectable;158;161;1;1
_parse_date_columns;159;162;1;1
read_sql_table;160;163;1;0
read_sql;161;164;1;0
_engine_builder;162;165;1;1
insert_data;163;166;1;1
_harmonize_columns;164;167;1;1
_harmonize_columns;165;168;1;1
_sqlalchemy_type;166;169;1;0
_get_unicode_name;167;170;1;1
run_transaction;168;171;2;0
execute;169;172;5;1
execute;170;173;2;1
_importers;171;174;1;1
_importers;172;175;1;1
_importers;173;176;1;1
_read;174;177;1;2
_parse_raw_tbody;175;178;1;1
_build_doc;176;179;8;2
_build_doc;177;180;1;1
_build_doc;178;181;1;1
_parse;179;182;1;1
_parse;180;183;0;1
get_engine;181;184;1;1
get_engine;182;185;1;1
__init__;183;186;1;1
__init__;184;187;1;1
json_normalize;185;188;2;1
_get_data_from_filepath;186;189;1;2
close;187;190;1;2
_try_convert_data;188;191;1;2
_try_convert_data;189;192;1;2
_try_convert_data;190;193;1;2
_try_convert_data;191;194;1;2
_try_convert_data;192;195;1;2
_try_convert_to_date;193;196;1;2
_try_convert_to_date;194;197;0;1
_try_convert_to_date;194;198;0;1
read_sas;195;199;1;0
_parse_date;196;200;1;1
__init__;197;201;1;0
_read_header;198;202;1;1
close;199;203;1;1
_get_terminal_size_windows;200;204;1;0
_get_terminal_size_tput;201;205;1;0
_get_terminal_size_linux;202;206;1;0
_get_terminal_size_linux;203;207;1;0
_get_terminal_size_linux;204;208;1;0
color_to_excel;205;209;1;1
size_to_pt;206;210;1;1
size_to_pt;207;211;1;1
size_to_pt;208;212;1;1
atomize;209;213;0;1
_side_expander;210;214;2;1
detect_console_encoding;211;215;1;1
detect_console_encoding;212;216;1;1
write_result;213;217;1;2
_format_strings;214;218;1;1
_join_unicode;215;219;2;1
pprint_thing;216;220;1;1
determine_clipboard;217;221;1;1
determine_clipboard;218;222;1;1
__init__;219;223;2;2
_init_ndarray;220;224;2;1
itertuples;221;225;1;1
from_records;222;226;1;1
from_records;223;227;1;1
_get_value;224;228;3;2
_set_value;225;229;3;2
__getitem__;226;230;1;0
query;227;231;1;1
_ensure_valid_index;228;232;1;0
_sanitize_column;229;233;2;1
aggregate;230;234;1;1
_apply_empty_result;231;235;1;1
_apply_raw;232;236;1;1
_apply_standard;233;237;1;1
_apply_standard;234;238;1;1
_apply_standard;235;239;4;1
round;236;240;0;1
_reduce;237;241;11;1
_reduce;238;242;1;0
_reduce;239;243;1;2
_prep_ndarray;240;244;1;0
__init__;241;245;1;1
_set_axis;242;246;1;2
_ixs;243;247;1;1
_ixs;243;248;7;1
__getitem__;244;249;1;1
__getitem__;244;250;11;2
__getitem__;244;251;1;1
_get_with;245;252;5;1
_get_with;246;253;3;1
_get_values;247;254;1;1
__setitem__;248;255;1;1
__setitem__;248;256;16;2
__setitem__;248;257;5;1
__setitem__;249;258;1;1
__setitem__;250;259;1;1
_set_with_engine;251;260;2;1
_set_with;252;261;1;1
_set_with;253;262;1;1
_set_value;254;263;1;1
to_string;255;264;2;1
sort_values;256;265;1;1
aggregate;257;266;1;3
_sanitize_array;258;267;4;2
_sanitize_array;259;268;3;1
_convert_for_datetime;260;269;1;1
_arith_method_SERIES;261;270;11;1
_arith_method_SERIES;262;271;6;1
_comp_method_SERIES;263;272;1;1
_bool_method_SERIES;264;273;14;1
_bool_method_SERIES;265;274;2;0
_arith_method_FRAME;266;275;24;1
_flex_comp_method_FRAME;267;276;11;1
_arith_method_PANEL;268;277;4;1
