name_func;id_handler;name;user/sys;tuple
setup_package;0;ImportError;sys;1
_get_data;1;AttributeError;sys;1
parse_sphinx_searchindex;2;ValueError;sys;1
generate_example_rst;3;TypeError;sys;1
make_thumbnail;4;ImportError;sys;1
make_thumbnail;5;Exception;sys;1
get_short_module_name;6;ImportError;sys;1
embed_code_links;8;HTTPError;usr;1
embed_code_links;9;URLError;usr;1
embed_code_links;10;HTTPError;usr;0
embed_code_links;10;URLError;usr;0
_linkcode_resolve;12;Exception;sys;1
_linkcode_resolve;13;Exception;sys;1
_linkcode_resolve;14;Exception;sys;1
__init__;15;TypeError;sys;1
_ustr;17;UnicodeEncodeError;sys;1
__init__;18;KeyError;usr;0
__init__;18;TypeError;usr;0
_normalizeParseActionArgs;19;AttributeError;sys;1
_normalizeParseActionArgs;20;AttributeError;sys;1
_normalizeParseActionArgs;21;AttributeError;sys;1
_normalizeParseActionArgs;22;AttributeError;sys;1
_normalizeParseActionArgs;23;AttributeError;sys;1
_skipIgnorables;24;ParseException;usr;1
_parseNoCache;25;ParseException;usr;1
_parseNoCache;26;IndexError;sys;1
_parseNoCache;27;IndexError;sys;1
_parseNoCache;28;ParseException;usr;1
_parseCache;29;ParseBaseException;usr;1
scanString;30;ParseException;usr;1
parseFile;31;AttributeError;sys;1
__eq__;32;ParseException;usr;1
__init__;33;IndexError;sys;1
__init__;34;IndexError;sys;1
parseImpl;43;ParseException;usr;1
parseImpl;44;IndexError;sys;1
parseImpl;45;ParseException;usr;1
parseImpl;46;IndexError;sys;1
parseImpl;47;ParseException;usr;1
parseImpl;49;ParseException;usr;0
parseImpl;49;IndexError;usr;0
parseImpl;50;ParseException;usr;0
parseImpl;50;IndexError;usr;0
parseImpl;51;ParseException;usr;0
parseImpl;51;IndexError;usr;0
parseImpl;52;ParseException;usr;0
parseImpl;52;IndexError;usr;0
parseImpl;53;ParseException;usr;0
parseImpl;53;IndexError;usr;0
traceParseAction;54;Exception;sys;1
traceParseAction;55;AttributeError;sys;1
keepOriginalText;58;ParseException;usr;1
test;59;ParseException;usr;1
_predict_binary;60;AttributeError;usr;0
_predict_binary;60;NotImplementedError;usr;0
_fit_and_score;61;Exception;sys;1
__call__;62;NotImplementedError;usr;0
__call__;62;AttributeError;usr;0
get_scorer;63;KeyError;sys;1
hinge_loss;64;TypeError;sys;1
_load_imgs;65;ImportError;sys;1
_load_imgs;66;ImportError;sys;1
_fetch_lfw_pairs;67;TypeError;sys;1
fetch_mldata;68;HTTPError;usr;1
load_sample_images;70;ImportError;sys;1
load_sample_images;71;ImportError;sys;1
fetch_20newsgroups;72;Exception;sys;1
fetch_covtype;73;NameError;sys;1
_mkdirp;74;OSError;sys;1
load_mlcomp;75;KeyError;sys;1
_raise_no_convergence;77;ArpackError;usr;1
assert_raises_regex;78;Exception;sys;1
assert_raise_message;79;exception;usr;1
is_sequence_of_sequences;81;IndexError;usr;0
is_sequence_of_sequences;81;TypeError;usr;0
type_of_target;82;ValueError;sys;1
check_estimator_sparse_data;83;TypeError;sys;1
check_estimator_sparse_data;84;Exception;sys;1
check_dtype_object;85;Exception;sys;1
check_estimators_nan_inf;86;ValueError;sys;1
check_estimators_nan_inf;87;Exception;sys;1
check_estimators_nan_inf;88;ValueError;sys;1
check_estimators_nan_inf;89;Exception;sys;1
check_estimators_nan_inf;90;ValueError;sys;1
check_estimators_nan_inf;91;Exception;sys;1
check_classifiers_one_label;92;ValueError;sys;1
check_classifiers_one_label;93;Exception;sys;1
check_classifiers_one_label;94;Exception;sys;1
check_classifiers_train;95;NotImplementedError;sys;1
check_parameters_default_constructible;96;TypeError;sys;1
choice;97;TypeError;sys;1
_have_blas_gemm;98;AttributeError;usr;0
_have_blas_gemm;98;ValueError;usr;0
fast_dot;99;ValueError;sys;1
_parse_version;100;ValueError;sys;1
newton_cg;101;_LineSearchError;usr;1
_parallel_build_estimators;102;ValueError;sys;1
plot_partial_dependence;103;ValueError;sys;1
