name_func;id_handler;name;user/sys;tuple
get_scipy_status;0;ImportError;sys;1
get_numpy_status;1;ImportError;sys;1
setup_package;2;ImportError;sys;1
_get_data;3;AttributeError;sys;1
parse_sphinx_searchindex;4;ValueError;sys;1
generate_example_rst;5;TypeError;sys;1
make_thumbnail;6;ImportError;sys;1
make_thumbnail;7;Exception;sys;1
get_short_module_name;8;ImportError;sys;1
embed_code_links;10;HTTPError;usr;1
embed_code_links;11;URLError;usr;1
embed_code_links;12;HTTPError;usr;0
embed_code_links;12;URLError;usr;0
_linkcode_resolve;14;Exception;sys;1
_linkcode_resolve;15;Exception;sys;1
_linkcode_resolve;16;Exception;sys;1
__init__;17;TypeError;sys;1
_ustr;19;UnicodeEncodeError;sys;1
__init__;20;KeyError;usr;0
__init__;20;TypeError;usr;0
_normalizeParseActionArgs;21;AttributeError;sys;1
_normalizeParseActionArgs;22;AttributeError;sys;1
_normalizeParseActionArgs;23;AttributeError;sys;1
_normalizeParseActionArgs;24;AttributeError;sys;1
_normalizeParseActionArgs;25;AttributeError;sys;1
_skipIgnorables;26;ParseException;usr;1
_parseNoCache;27;ParseException;usr;1
_parseNoCache;28;IndexError;sys;1
_parseNoCache;29;IndexError;sys;1
_parseNoCache;30;ParseException;usr;1
_parseCache;31;ParseBaseException;usr;1
scanString;32;ParseException;usr;1
parseFile;33;AttributeError;sys;1
__eq__;34;ParseException;usr;1
__init__;35;IndexError;sys;1
__init__;36;IndexError;sys;1
parseImpl;45;ParseException;usr;1
parseImpl;46;IndexError;sys;1
parseImpl;47;ParseException;usr;1
parseImpl;48;IndexError;sys;1
parseImpl;49;ParseException;usr;1
parseImpl;51;ParseException;usr;0
parseImpl;51;IndexError;usr;0
parseImpl;52;ParseException;usr;0
parseImpl;52;IndexError;usr;0
parseImpl;53;ParseException;usr;0
parseImpl;53;IndexError;usr;0
parseImpl;54;ParseException;usr;0
parseImpl;54;IndexError;usr;0
parseImpl;55;ParseException;usr;0
parseImpl;55;IndexError;usr;0
traceParseAction;56;Exception;sys;1
traceParseAction;57;AttributeError;sys;1
keepOriginalText;60;ParseException;usr;1
test;61;ParseException;usr;1
