func_name;id_try;id;size;exceptions
get_scipy_status;0;0;2;1
get_numpy_status;1;1;2;1
setup_package;2;2;0;1
_get_data;3;3;2;1
parse_sphinx_searchindex;4;4;1;1
generate_example_rst;5;5;1;1
make_thumbnail;6;6;0;1
make_thumbnail;7;7;1;1
get_short_module_name;8;8;1;1
generate_file_rst;9;9;4;0
embed_code_links;10;10;2;1
embed_code_links;10;11;2;1
embed_code_links;11;12;2;2
_get_git_revision;12;13;2;0
_linkcode_resolve;13;14;1;1
_linkcode_resolve;14;15;1;1
_linkcode_resolve;15;16;1;1
__init__;16;17;1;1
convertToFloat;17;18;1;0
_ustr;18;19;1;1
__init__;19;20;1;2
_normalizeParseActionArgs;20;21;8;1
_normalizeParseActionArgs;21;22;4;1
_normalizeParseActionArgs;22;23;1;1
_normalizeParseActionArgs;23;24;1;1
_normalizeParseActionArgs;24;25;1;1
_skipIgnorables;25;26;1;1
_parseNoCache;26;27;3;1
_parseNoCache;27;28;1;1
_parseNoCache;28;29;1;1
_parseNoCache;29;30;2;1
_parseCache;30;31;2;1
scanString;31;32;1;1
parseFile;32;33;3;1
__eq__;33;34;1;1
__init__;34;35;2;1
__init__;35;36;1;1
__init__;36;37;1;0
__str__;37;38;1;0
__init__;38;39;2;0
__str__;39;40;1;0
__init__;40;41;2;0
__str__;41;42;1;0
__str__;42;43;1;0
__str__;43;44;1;0
parseImpl;44;45;2;1
parseImpl;44;46;3;1
parseImpl;45;47;2;1
parseImpl;45;48;3;1
parseImpl;46;49;1;1
__str__;47;50;1;0
parseImpl;48;51;1;2
parseImpl;49;52;1;2
parseImpl;50;53;1;2
parseImpl;51;54;2;2
parseImpl;52;55;1;2
traceParseAction;53;56;2;1
traceParseAction;54;57;1;1
oneOf;55;58;1;0
srange;56;59;1;0
keepOriginalText;57;60;1;1
test;58;61;3;1
bench_one;59;62;1;0
bench_one;60;63;1;0
bench_one;61;64;1;0
_predict_binary;62;65;1;2
_fit_and_score;63;66;6;1
__call__;64;67;4;2
get_scorer;65;68;1;1
hinge_loss;66;69;1;1
_load_imgs;67;70;1;1
_load_imgs;68;71;0;1
_fetch_lfw_pairs;69;72;1;1
fetch_mldata;70;73;2;1
fetch_mldata;71;74;2;0
__getattr__;72;75;1;1
load_sample_images;73;76;1;1
load_sample_images;74;77;0;1
fetch_20newsgroups;75;78;4;1
fetch_covtype;76;79;2;1
load_mlcomp;77;80;1;1
_log_multivariate_normal_density_full;78;81;2;0
_log_multivariate_normal_density_full;79;82;1;0
_raise_no_convergence;80;83;4;1
safe_indexing;81;84;2;1
assert_raises_regex;82;85;3;1
assert_raise_message;83;86;2;1
if_matplotlib;84;87;1;1
_delete_folder;85;88;1;1
type_of_target;86;89;1;1
type_of_target;87;90;1;1
check_estimator_sparse_data;88;91;3;1
check_estimator_sparse_data;88;92;2;1
check_dtype_object;89;93;2;1
check_fit2d_predict1d;90;94;1;1
check_fit2d_1sample;91;95;1;1
check_fit2d_1feature;92;96;1;1
check_fit1d_1feature;93;97;1;1
check_fit1d_1sample;94;98;1;1
check_estimators_nan_inf;95;99;5;1
check_estimators_nan_inf;95;100;3;1
check_estimators_nan_inf;96;101;5;1
check_estimators_nan_inf;96;102;2;1
check_estimators_nan_inf;97;103;5;1
check_estimators_nan_inf;97;104;2;1
check_classifiers_one_label;98;105;5;1
check_classifiers_one_label;98;106;3;1
check_classifiers_one_label;99;107;2;1
check_classifiers_train;100;108;1;1
check_parameters_default_constructible;101;109;1;2
choice;102;110;1;1
_have_blas_gemm;103;111;2;2
fast_dot;104;112;1;1
_parse_version;105;113;1;1
makedirs;106;114;2;1
array_equal;107;115;1;0
newton_cg;108;116;1;1
_parallel_build_estimators;109;117;1;1
plot_partial_dependence;110;118;1;1
plot_partial_dependence;111;119;1;1
plot_partial_dependence;112;120;1;1
predict_proba;113;121;1;1
predict_proba;113;122;1;1
staged_predict_proba;114;123;1;1
staged_predict_proba;114;124;1;1
feature_importances_;115;125;1;1
_boost_real;116;126;1;1
_boost_discrete;117;127;1;1
_boost;118;128;1;1
fast_mcd;119;129;3;1
graph_lasso;120;130;2;1
graph_lasso_path;121;131;3;1
_fit_transform;122;132;1;2
transform;123;133;1;1
__init__;124;134;3;1
clear;125;135;1;1
_get_user_defined_method;126;136;1;1
signature;127;137;1;1
signature;128;138;1;1
signature;129;139;2;1
args;130;140;0;1
kwargs;131;141;1;1
parameters;132;142;1;1
__eq__;133;143;1;1
__eq__;134;144;1;1
_bind;135;145;10;1
_bind;136;146;0;1
_bind;137;147;1;1
_bind;138;148;1;1
remove_move;139;149;2;1
remove_move;140;150;1;1
__init__;141;151;0;0
__init__;142;152;0;0
__init__;143;153;0;0
__call__;144;154;0;0
get_func_code;145;155;3;0
get_func_name;146;156;3;1
get_func_name;147;157;1;0
getfullargspec;148;158;4;1
filter_args;149;159;1;2
__call__;150;160;1;1
__call__;150;161;3;0
delayed;151;162;0;1
retrieve;152;163;10;0
assert_raises_regex;153;164;3;1
__init__;154;165;1;1
save;155;166;1;1
__init__;156;167;1;1
load;157;168;3;1
_load_output;158;169;1;1
__init__;159;170;1;0
__init__;160;171;0;0
_cached_call;161;172;4;1
_write_func_code;162;173;1;1
_check_previous_func_code;163;174;1;1
_check_previous_func_code;164;175;2;1
_persist_output;165;176;0;1
_persist_input;166;177;1;0
_detect_encoding;167;178;1;1
_detect_encoding;168;179;1;1
_detect_encoding;169;180;1;1
memstr_to_kbytes;170;181;1;2
mkdirp;171;182;1;1
rm_subdirs;172;183;2;0
rm_subdirs;173;184;3;0
safe_repr;174;185;1;1
safe_repr;174;186;8;0
safe_repr;175;187;1;1
safe_repr;175;188;6;0
safe_repr;176;189;1;1
safe_repr;176;190;1;0
_fixed_getframes;177;191;1;1
format_records;178;192;1;1
format_records;179;193;2;1
format_records;180;194;1;1
format_records;181;195;1;2
format_records;181;196;2;0
format_records;182;197;1;0
format_exc;183;198;1;1
format_exc;184;199;3;0
format_exc;185;200;2;0
_mk_exception;186;201;1;1
__init__;187;202;1;1
hash;188;203;2;0
save_global;189;204;7;0
_batch_setitems;190;205;1;1
save;191;206;2;2
__call__;192;207;1;1
delete_folder;193;208;1;1
__init__;194;209;1;1
_check_parameters;195;210;4;1
_check_parameters;196;211;1;2
_fit;197;212;1;1
discretize;198;213;1;1
linkage_tree;199;214;1;1
_count_vocab;200;215;0;1
transform;201;216;1;1
reduced_likelihood_function;202;217;1;0
reduced_likelihood_function;203;218;2;0
_arg_max_reduced_likelihood_function;204;219;2;1
fit;205;220;1;1
logistic_regression_path;206;221;1;1
logistic_regression_path;207;222;1;0
