name_func;id_handler;name;user/sys;tuple
get_scipy_status;0;ImportError;sys;1
get_numpy_status;1;ImportError;sys;1
setup_package;2;ImportError;sys;1
cythonize;3;ImportError;sys;1
cythonize;4;OSError;sys;1
cythonize;5;OSError;sys;1
load_hashes;6;KeyError;usr;0
load_hashes;6;ValueError;usr;0
load_hashes;6;AttributeError;usr;0
load_hashes;6;IOError;usr;0
_get_git_revision;7;CalledProcessError;usr;0
_get_git_revision;7;OSError;usr;0
_linkcode_resolve;8;Exception;sys;1
_linkcode_resolve;9;Exception;sys;1
_linkcode_resolve;10;Exception;sys;1
__init__;11;TypeError;sys;1
_get_data;12;AttributeError;sys;1
_parse_dict_recursive;13;ValueError;sys;1
_embed_code_links;14;HTTPError;usr;1
_embed_code_links;15;URLError;usr;1
_embed_code_links;16;HTTPError;usr;0
_embed_code_links;16;URLError;usr;0
generate_gallery_rst;17;TypeError;sys;1
get_short_module_name;18;ImportError;sys;1
text2string;19;Exception;sys;1
scale_image;20;ImportError;sys;1
scale_image;21;Exception;sys;1
execute_script;22;Exception;sys;1
_ustr;24;UnicodeEncodeError;sys;1
__init__;25;KeyError;usr;0
__init__;25;TypeError;usr;0
_normalizeParseActionArgs;26;AttributeError;sys;1
_normalizeParseActionArgs;27;AttributeError;sys;1
_normalizeParseActionArgs;28;AttributeError;sys;1
_normalizeParseActionArgs;29;AttributeError;sys;1
_normalizeParseActionArgs;30;AttributeError;sys;1
_skipIgnorables;31;ParseException;usr;1
_parseNoCache;32;ParseException;usr;1
_parseNoCache;33;IndexError;sys;1
_parseNoCache;34;IndexError;sys;1
_parseNoCache;35;ParseException;usr;1
_parseCache;36;ParseBaseException;usr;1
scanString;37;ParseException;usr;1
parseFile;38;AttributeError;sys;1
__eq__;39;ParseException;usr;1
__init__;40;IndexError;sys;1
__init__;41;IndexError;sys;1
parseImpl;50;ParseException;usr;1
parseImpl;51;IndexError;sys;1
parseImpl;52;ParseException;usr;1
parseImpl;53;IndexError;sys;1
parseImpl;54;ParseException;usr;1
parseImpl;56;ParseException;usr;0
parseImpl;56;IndexError;usr;0
parseImpl;57;ParseException;usr;0
