func_name;id_try;id;size;exceptions
get_scipy_status;0;0;3;1
get_numpy_status;1;1;3;1
setup_package;2;2;0;1
cythonize;3;3;1;1
cythonize;4;4;1;1
cythonize;5;5;2;1
load_hashes;6;6;1;4
_get_git_revision;7;7;2;2
_linkcode_resolve;8;8;1;1
_linkcode_resolve;9;9;1;1
_linkcode_resolve;10;10;1;1
__init__;11;11;1;1
_get_data;12;12;2;1
_parse_dict_recursive;13;13;1;1
_embed_code_links;14;14;2;1
_embed_code_links;14;15;2;1
_embed_code_links;15;16;2;2
generate_gallery_rst;16;17;1;1
get_short_module_name;17;18;1;1
text2string;18;19;1;1
scale_image;19;20;0;1
scale_image;20;21;1;1
execute_script;21;22;11;1
convertToFloat;22;23;1;0
_ustr;23;24;1;1
__init__;24;25;1;2
_normalizeParseActionArgs;25;26;8;1
_normalizeParseActionArgs;26;27;4;1
_normalizeParseActionArgs;27;28;1;1
_normalizeParseActionArgs;28;29;1;1
_normalizeParseActionArgs;29;30;1;1
_skipIgnorables;30;31;1;1
_parseNoCache;31;32;3;1
_parseNoCache;32;33;1;1
_parseNoCache;33;34;1;1
_parseNoCache;34;35;2;1
_parseCache;35;36;2;1
scanString;36;37;1;1
parseFile;37;38;3;1
__eq__;38;39;1;1
__init__;39;40;2;1
__init__;40;41;1;1
__init__;41;42;1;0
__str__;42;43;1;0
__init__;43;44;2;0
__str__;44;45;1;0
__init__;45;46;2;0
__str__;46;47;1;0
__str__;47;48;1;0
__str__;48;49;1;0
parseImpl;49;50;2;1
parseImpl;49;51;3;1
parseImpl;50;52;2;1
parseImpl;50;53;3;1
parseImpl;51;54;1;1
__str__;52;55;1;0
parseImpl;53;56;1;2
parseImpl;54;57;1;2
parseImpl;55;58;1;2
parseImpl;56;59;2;2
parseImpl;57;60;1;2
traceParseAction;58;61;2;1
traceParseAction;59;62;1;1
oneOf;60;63;1;0
srange;61;64;1;0
keepOriginalText;62;65;1;1
test;63;66;3;1
bench_one;64;67;1;0
bench_one;65;68;1;0
bench_one;66;69;1;0
_predict_binary;67;70;1;2
fit;68;71;1;1
_fit_and_score;69;72;6;1
_score;70;73;1;1
__call__;71;74;4;2
get_scorer;72;75;2;1
hinge_loss;73;76;1;1
_load_imgs;74;77;1;1
_load_imgs;75;78;0;1
_fetch_lfw_pairs;76;79;1;1
fetch_mldata;77;80;2;1
fetch_mldata;78;81;2;0
__getattr__;79;82;1;1
load_sample_images;80;83;1;1
load_sample_images;81;84;0;1
_fetch_brute_kddcup99;82;85;2;1
_mkdirp;83;86;1;1
fetch_20newsgroups;84;87;4;1
fetch_covtype;85;88;2;1
load_mlcomp;86;89;1;1
_compute_precision_cholesky;87;90;1;0
_compute_precision_cholesky;88;91;1;0
_log_multivariate_normal_density_full;89;92;2;0
_log_multivariate_normal_density_full;90;93;1;0
_fit_stochastic;91;94;1;1
_raise_no_convergence;92;95;4;1
safe_indexing;93;96;2;1
assert_raises_regex;94;97;3;1
assert_raise_message;95;98;2;1
if_matplotlib;96;99;1;1
_delete_folder;97;100;1;1
