func_name;id;size;handlers
get_scipy_status;0;3;1
get_numpy_status;1;3;1
setup_package;2;0;1
cythonize;3;0;1
cythonize;4;0;1
cythonize;5;1;1
load_hashes;6;0;1
_get_git_revision;7;1;1
_linkcode_resolve;8;1;1
_linkcode_resolve;9;1;1
_linkcode_resolve;10;1;1
__init__;11;4;1
_get_data;12;2;1
_parse_dict_recursive;13;1;1
_embed_code_links;14;0;2
_embed_code_links;15;1;1
generate_gallery_rst;16;1;1
get_short_module_name;17;0;1
text2string;18;1;1
scale_image;19;0;1
scale_image;20;0;1
execute_script;21;9;1
convertToFloat;22;1;1
_ustr;23;1;1
__init__;24;1;1
_normalizeParseActionArgs;25;2;1
_normalizeParseActionArgs;26;1;1
_normalizeParseActionArgs;27;1;1
_normalizeParseActionArgs;28;1;1
_normalizeParseActionArgs;29;0;1
_skipIgnorables;30;0;1
_parseNoCache;31;0;1
_parseNoCache;32;1;1
_parseNoCache;33;1;1
_parseNoCache;34;0;1
_parseCache;35;3;1
scanString;36;2;1
parseFile;37;1;1
__eq__;38;1;1
__init__;39;1;1
__init__;40;1;1
__init__;41;1;1
__str__;42;1;1
__init__;43;2;1
__str__;44;1;1
__init__;45;2;1
__str__;46;1;1
__str__;47;1;1
__str__;48;1;1
parseImpl;49;1;2
parseImpl;50;2;2
parseImpl;51;1;1
__str__;52;1;1
parseImpl;53;0;1
parseImpl;54;2;1
parseImpl;55;1;1
parseImpl;56;1;1
parseImpl;57;1;1
traceParseAction;58;1;1
traceParseAction;59;1;1
oneOf;60;0;1
srange;61;1;1
keepOriginalText;62;1;1
test;63;7;1
bench_one;64;0;1
bench_one;65;1;1
bench_one;66;1;1
_predict_binary;67;1;1
fit;68;1;1
_fit_and_score;69;0;1
_score;70;1;1
__call__;71;1;1
get_scorer;72;1;1
hinge_loss;73;1;1
_load_imgs;74;0;1
_load_imgs;75;0;1
_fetch_lfw_pairs;76;1;1
fetch_mldata;77;1;1
fetch_mldata;78;0;1
__getattr__;79;1;1
load_sample_images;80;0;1
load_sample_images;81;0;1
_fetch_brute_kddcup99;82;0;1
_mkdirp;83;0;1
fetch_20newsgroups;84;2;1
fetch_covtype;85;0;1
load_mlcomp;86;1;1
_compute_precision_cholesky;87;1;1
_compute_precision_cholesky;88;1;1
_log_multivariate_normal_density_full;89;1;1
_log_multivariate_normal_density_full;90;1;1
_fit_stochastic;91;0;1
_raise_no_convergence;92;1;1
safe_indexing;93;1;1
assert_raises_regex;94;1;1
assert_raise_message;95;0;1
if_matplotlib;96;0;1
_delete_folder;97;0;1
type_of_target;98;1;1
type_of_target;99;0;1
check_supervised_y_no_nan;100;0;1
check_estimator_sparse_data;101;0;2
check_dtype_object;102;0;1
check_fit2d_predict1d;103;0;1
check_fit2d_1sample;104;0;1
check_fit2d_1feature;105;0;1
check_fit1d_1feature;106;0;1
check_fit1d_1sample;107;0;1
check_estimators_nan_inf;108;0;2
check_estimators_nan_inf;109;0;2
check_estimators_nan_inf;110;0;2
check_estimators_partial_fit_n_features;111;0;1
check_classifiers_one_label;112;0;2
check_classifiers_one_label;113;0;1
check_classifiers_train;114;1;1
check_parameters_default_constructible;115;1;1
choice;116;1;1
_have_blas_gemm;117;1;1
fast_dot;118;1;1
_parse_version;119;0;1
makedirs;120;0;1
array_equal;121;1;1
__get__;122;1;1
newton_cg;123;1;1
plot_partial_dependence;124;1;1
plot_partial_dependence;125;1;1
plot_partial_dependence;126;0;1
predict_proba;127;1;2
staged_predict_proba;128;0;2
feature_importances_;129;2;1
fast_mcd;130;1;1
graph_lasso;131;1;1
graph_lasso_path;132;1;1
_fit_transform;133;1;1
transform;134;1;1
__init__;135;0;1
clear;136;2;1
_get_user_defined_method;137;1;1
signature;138;1;1
signature;139;1;1
signature;140;1;1
args;141;1;1
kwargs;142;1;1
parameters;143;1;1
__eq__;144;1;1
__eq__;145;1;1
_bind;146;1;1
_bind;147;1;1
_bind;148;1;1
_bind;149;1;1
remove_move;150;0;1
remove_move;151;1;1
__init__;152;0;1
__init__;153;0;1
__init__;154;0;1
__call__;155;0;1
get_func_code;156;3;1
get_func_name;157;1;1
get_func_name;158;1;1
getfullargspec;159;1;1
filter_args;160;1;1
delayed;161;1;1
__init__;162;1;1
_initialize_backend;163;1;1
retrieve;164;0;1
assert_raises_regex;165;1;1
__init__;166;0;1
__init__;167;0;1
_unpickle;168;1;1
_load_output;169;0;1
__init__;170;0;1
__init__;171;0;1
_cached_call;172;2;1
_write_func_code;173;1;1
_check_previous_func_code;174;0;1
_check_previous_func_code;175;0;1
_persist_output;176;1;1
_persist_input;177;0;1
_detect_encoding;178;1;1
_detect_encoding;179;1;1
_detect_encoding;180;1;1
memstr_to_bytes;181;1;1
mkdirp;182;0;1
rm_subdirs;183;1;1
rm_subdirs;184;0;1
safe_repr;185;1;2
safe_repr;186;1;2
safe_repr;187;2;2
_fixed_getframes;188;1;1
format_records;189;1;1
format_records;190;1;1
format_records;191;3;1
format_records;192;0;2
format_records;193;1;1
format_exc;194;1;1
format_exc;195;1;1
format_exc;196;1;1
__init__;197;0;1
load_compatibility;198;1;1
__call__;199;1;2
_mk_exception;200;2;1
__init__;201;1;1
hash;202;0;1
save_global;203;0;1
_batch_setitems;204;0;1
__call__;205;0;1
delete_folder;206;0;1
__init__;207;3;1
terminate;208;0;1
_fill_buffer;209;1;1
_read_bytes;210;2;1
_check_parameters;211;0;1
_check_parameters;212;1;1
_fit;213;1;1
discretize;214;2;1
linkage_tree;215;1;1
_count_vocab;216;1;1
transform;217;1;1
_fit_and_score;218;0;1
_score;219;1;1
log_marginal_likelihood;220;1;1
reduced_likelihood_function;221;1;1
reduced_likelihood_function;222;1;1
_arg_max_reduced_likelihood_function;223;1;1
fit;224;0;1
logistic_regression_path;225;1;1
logistic_regression_path;226;1;1
fit;227;1;1
_get_loss_function;228;3;1
_get_learning_rate_type;229;1;1
_get_penalty_type;230;1;1
_solve_cholesky_kernel;231;1;1
ridge_regression;232;2;1
ridge_regression;233;1;1
spectral_embedding;234;0;1
spectral_embedding;235;4;1
null_space;236;1;1
